version,route_id,preset,cruise_mps,status,gate_pass,ticks,source_dir,full_cte_rms_m,full_cte_p95_m,moving_ticks,moving_cte_rms_m,moving_cte_p95_m,cruise_speed_rms_mps,all_cruise_speed_rms_mps,endpoint_error_m,stop_hold_s,stop_hold_displacement_m,stop_hold_max_speed_mps,controller_step_count,controller_step_median_ms,controller_step_p95_ms,controller_step_max_ms,plan_count,rejoin_plan_count,rejoin_concern_plans,rejoin_concern_fraction,rejoin_max_curvature_inv_m,first_point_speed_p95_mps,first_point_speed_max_mps,controller_reasons,rejoin_reasons,invalid_motion_ticks,trajectory_behind_ticks,pose_error_max_m,failed_gates,validation_sha256,gate_completed,gate_no_collision,gate_full_lateral_rms,gate_full_lateral_p95,gate_cruise_speed,gate_pose,gate_heading,gate_endpoint,gate_hold_duration,gate_hold_displacement,gate_hold_speed,gate_telemetry_complete,variant,role,cruise_samples,cruise_signed_speed_std_mps,cruise_signed_speed_p95_minus_p5_mps,cruise_signed_speed_min_mps,cruise_signed_speed_max_mps,cruise_under_by_half_mps_fraction,gear_observed_cruise_samples,gear_observed_values,gear_changes,underspeed_episodes,underspeed_episodes_at_least_025s
vendor,1773,carla,8.0,completed,True,541,/data/runs/b2d/controller/development-v2/1773/baseline/carla,0.037118082090734326,0.06841705442582573,416,0.0394632905468169,0.06921799905362142,0.22769226746084317,2.2306340092869443,0.15797066461132953,5.000000074505806,0.000619475465802344,0.01311943207700315,541,0.14833400200586766,0.2059739999822341,0.2798450004775077,136,136,7,0.051470588235294115,10.538635334255119,7.999999526987832,7.999999997432905,"{""stationary_trajectory"": 101, ""tracking"": 440}","{""rejoin"": 103, ""rejoin_curvature_concern"": 7, ""terminal_hold"": 26}",0,0,0.5076071005468162,,fa519830aff1d8191050eea32690bea1255b718e9ef9c46c9f6111b900c0fd5b,True,True,True,True,True,True,True,True,True,True,True,True,baseline,vendor,242,0.15952807941637465,0.45555870532989484,7.596194744110107,8.112154960632324,0.0,0,[],,0,0
pi,1773,carla,8.0,completed,True,521,/data/runs/b2d/controller/development-v3/1773/pi/carla,0.03551547798878035,0.06822591241197039,402,0.039883952012612515,0.06882612374281448,0.10161168795309083,2.232067274862756,0.1216069193887405,5.000000074505806,0.0009753024054258085,0.012247009747814848,521,0.15323100524256006,0.21761899552075192,0.343352003255859,131,131,6,0.04580152671755725,8.461185318292369,7.999999605637607,7.999999996544903,"{""stationary_trajectory"": 101, ""tracking"": 420}","{""rejoin"": 99, ""rejoin_curvature_concern"": 6, ""terminal_hold"": 26}",0,0,0.5076071005468162,,011436b7860052877725668c5a4d9254a63c5ddbb302ab87d857dc2a78421acc,True,True,True,True,True,True,True,True,True,True,True,True,pi,pi,240,0.06372492111299558,0.20046734809875488,7.736032009124756,7.998823642730713,0.0,240,[2],0,0,0
vendor,1773,pursuit,8.0,completed,True,529,/data/runs/b2d/controller/development-v2/1773/baseline/pursuit,0.04230393577958821,0.0715056215947536,410,0.043291647193192874,0.07470298193611108,0.2230767251716312,2.2293727321272243,0.19257334860083433,5.000000074505806,0.0004958216312455485,0.008711125357356093,529,0.1517389973741956,0.207697601581458,0.41723399772308767,133,133,6,0.045112781954887216,0.9189910678081676,7.99999961387331,7.999999976209266,"{""stationary_trajectory"": 101, ""tracking"": 428}","{""rejoin"": 101, ""rejoin_curvature_concern"": 6, ""terminal_hold"": 26}",0,0,0.5076071017930431,,1dee23554a5c792e6d70389b8c0767e26bb56e43d68ea4da1837c75b3a41ca67,True,True,True,True,True,True,True,True,True,True,True,True,baseline,vendor,242,0.157601848860035,0.44884252548217773,7.563575267791748,8.112126350402832,0.0,0,[],,0,0
pi,1773,pursuit,8.0,completed,True,520,/data/runs/b2d/controller/development-v3/1773/pi/pursuit,0.0429450121594597,0.0717571947702162,402,0.04366621573433196,0.07497834994656631,0.10144857132576635,2.2309902774691857,0.13292083999021198,5.000000074505806,0.000538882945656875,0.009324771291501272,520,0.16132500240928493,0.21893900193390434,0.40914900455391034,130,130,6,0.046153846153846156,3.416889378315212,7.999999673880445,7.999999976218356,"{""stationary_trajectory"": 100, ""stop_hold"": 1, ""tracking"": 419}","{""rejoin"": 99, ""rejoin_curvature_concern"": 6, ""terminal_hold"": 25}",0,0,0.5076071017930431,,2fdc9305019198d50b8ecba9620b136b4a5778bfe1b62b6a5d8b1ee4ec79237d,True,True,True,True,True,True,True,True,True,True,True,True,pi,pi,240,0.06358209046430062,0.2011270523071289,7.743643760681152,7.99442720413208,0.0,240,[2],0,0,0
vendor,1773,pursuit,8.0,completed,True,529,/data/runs/b2d/controller/development-v2/1773/max/pursuit,0.04547082425782011,0.08292990238106394,410,0.048544863536896174,0.08491838704180871,0.21996501177643032,2.229833392005131,0.18784860647168947,5.000000074505806,0.0009714331379453773,0.008642357058617824,529,0.15126999642234296,0.20689879893325266,0.2642250037752092,133,133,5,0.03759398496240601,1.0817153127221055,7.999999456812403,7.999999978691271,"{""stationary_trajectory"": 101, ""tracking"": 428}","{""rejoin"": 102, ""rejoin_curvature_concern"": 5, ""terminal_hold"": 26}",0,0,0.5076071017930431,,c5c96ee046d134127f52bf0bac868fdd92a8e8d5ea2ea03031516085bce6afc6,True,True,True,True,True,True,True,True,True,True,True,True,max,vendor,241,0.153670197633952,0.43330812454223633,7.632534027099609,8.095547676086426,0.0,0,[],,0,0
pi,1773,pursuit,8.0,completed,True,519,/data/runs/b2d/controller/development-v3/1773/pi-max/pursuit,0.04706237054577092,0.08261679326280273,401,0.04911320157291974,0.08485395390103655,0.10132683094036013,2.228477761623567,0.16671084665385694,5.000000074505806,0.0009708744798174074,0.010414657357490488,519,0.14837700291536748,0.2082877021166496,0.4426609957590699,130,130,6,0.046153846153846156,3.4343501687233116,7.999999549691505,7.999999993668554,"{""stationary_trajectory"": 99, ""stop_hold"": 2, ""tracking"": 418}","{""rejoin"": 99, ""rejoin_curvature_concern"": 6, ""terminal_hold"": 25}",0,0,0.5076071017930431,,9ddd074f419d8409eb4a86614af847faeb21d80bfdee04b2bb6fd009c574cecf,True,True,True,True,True,True,True,True,True,True,True,True,pi-max,pi,240,0.06322617854232258,0.19911997318267805,7.745080947875977,7.98759651184082,0.0,240,[2],0,0,0
vendor,1773-speed6,carla,6.0,completed,False,658,/data/runs/b2d/controller/development-v2-speed-diagnostic/1773/carla,0.04539125868105484,0.07800254099091798,535,0.04250453029461849,0.08409927456674962,0.6284915311465784,1.420180873575999,0.09178260847746514,5.000000074505806,0.0009837355660835866,0.0038709560698204507,658,0.15623999934177846,0.2377099994191667,0.33555199479451403,165,165,7,0.04242424242424243,6.059244102266813,5.999999590995013,5.9999999997808615,"{""stationary_trajectory"": 102, ""tracking"": 556}","{""rejoin"": 132, ""rejoin_curvature_concern"": 7, ""terminal_hold"": 26}",0,0,0.5076071005468162,cruise_speed,54b6ba6822dc0d30674e1f01261407cc66a35370abd864a4cd39dae93adba5b9,True,True,True,True,False,True,True,True,True,True,True,True,baseline,vendor,384,0.46500493382376284,1.3080437660217283,4.959249496459961,6.54464054107666,0.5208333333333334,384,"[0, 1, 2]",69,19,18
pi,1773-speed6,carla,6.0,completed,False,638,/data/runs/b2d/controller/development-v3/1773-speed6/pi/carla,0.03565836863728957,0.07905970291745024,521,0.03903417172753753,0.08367738439323809,0.5522802423297765,1.4012144817452366,0.14512100007217002,5.000000074505806,0.0009878291321153583,0.008191786531913147,638,0.15827999959583394,0.21890869647904765,0.3189390045008622,160,160,5,0.03125,8.889695718869406,5.99999973414412,5.999999999065865,"{""stationary_trajectory"": 102, ""tracking"": 536}","{""rejoin"": 129, ""rejoin_curvature_concern"": 5, ""terminal_hold"": 26}",0,0,0.5076071017930431,cruise_speed,b6f0927b5d27132107f3faf31f303207060d17004e2e42270f092267cda55d5f,True,True,True,True,False,True,True,True,True,True,True,True,pi,pi,379,0.43232424683535875,1.2735508441925045,4.971440315246582,6.430160999298096,0.39050131926121373,379,"[0, 1, 2]",48,12,12
vendor,1773-speed6,pursuit,6.0,completed,False,660,/data/runs/b2d/controller/development-v2-speed-diagnostic/1773/pursuit,0.060564178877810335,0.10640252909380496,539,0.047739769334128795,0.0959830762030228,0.6916927963157463,1.4374914973905057,0.13732985687525326,5.000000074505806,0.001000137963153526,0.006666933778762885,660,0.14592549996450543,0.2006921011343365,0.2633519980008714,165,165,7,0.04242424242424243,4.43290638309331,5.999999653169373,5.999999994304511,"{""stationary_trajectory"": 100, ""stop_hold"": 1, ""tracking"": 559}","{""rejoin"": 133, ""rejoin_curvature_concern"": 7, ""terminal_hold"": 25}",0,0,0.5076071017930431,cruise_speed,909e14f93ec6dfe2ee7ce5fca5c854f87d74d855913165ef17f63997d96d1843,True,True,True,True,False,True,True,True,True,True,True,True,baseline,vendor,386,0.5239265545733227,1.3421968221664429,3.829786539077759,6.606302261352539,0.538860103626943,386,"[0, 1, 2]",69,18,17
pi,1773-speed6,pursuit,6.0,completed,False,649,/data/runs/b2d/controller/development-v3/1773-speed6/pi/pursuit,0.04986043940097971,0.08771939739621784,533,0.0462260153842628,0.09244989469000368,0.6393953774544832,1.4185989870473763,0.07801451696749787,5.000000074505806,0.001226591284551109,0.026432460765273794,649,0.1514730029157363,0.20516199874691665,0.27467499603517354,163,163,6,0.03680981595092025,13.145024376489678,5.999999845989195,5.999999988437195,"{""stationary_trajectory"": 101, ""tracking"": 548}","{""rejoin"": 131, ""rejoin_curvature_concern"": 6, ""terminal_hold"": 26}",0,0,0.5076071017930431,cruise_speed,df5ceb2a3e32d803d45851fd98e0a8cb52f9ec488323bfbf54749cafe2b97d90,True,True,True,True,False,True,True,True,True,True,True,True,pi,pi,386,0.4656196713499816,1.2461305856704712,4.9509406089782715,6.522495746612549,0.5284974093264249,386,"[0, 1, 2]",66,17,16
