version,route_id,preset,cruise_mps,status,gate_pass,ticks,source_dir,full_cte_rms_m,full_cte_p95_m,moving_ticks,moving_cte_rms_m,moving_cte_p95_m,cruise_speed_rms_mps,all_cruise_speed_rms_mps,endpoint_error_m,stop_hold_s,stop_hold_displacement_m,stop_hold_max_speed_mps,controller_step_count,controller_step_median_ms,controller_step_p95_ms,controller_step_max_ms,plan_count,rejoin_plan_count,rejoin_concern_plans,rejoin_concern_fraction,rejoin_max_curvature_inv_m,first_point_speed_p95_mps,first_point_speed_max_mps,controller_reasons,rejoin_reasons,invalid_motion_ticks,trajectory_behind_ticks,pose_error_max_m,failed_gates,validation_sha256,gate_completed,gate_no_collision,gate_full_lateral_rms,gate_full_lateral_p95,gate_cruise_speed,gate_pose,gate_heading,gate_endpoint,gate_hold_duration,gate_hold_displacement,gate_hold_speed,gate_telemetry_complete,variant,role,longitudinal_gains_observed,cruise_samples,cruise_signed_speed_std_mps,cruise_signed_speed_p95_minus_p5_mps,cruise_signed_speed_min_mps,cruise_signed_speed_max_mps,cruise_under_by_half_mps_fraction,gear_observed_cruise_samples,gear_observed_values,gear_changes,underspeed_episodes,underspeed_episodes_at_least_025s
vendor,1773,carla,8.0,completed,True,541,/data/runs/b2d/controller/development-v2/1773/baseline/carla,0.037118082090734326,0.06841705442582573,416,0.0394632905468169,0.06921799905362142,0.22769226746084317,2.2306340092869443,0.15797066461132953,5.000000074505806,0.000619475465802344,0.01311943207700315,541,0.14833400200586766,0.2059739999822341,0.2798450004775077,136,136,7,0.051470588235294115,10.538635334255119,7.999999526987832,7.999999997432905,"{""stationary_trajectory"": 101, ""tracking"": 440}","{""rejoin"": 103, ""rejoin_curvature_concern"": 7, ""terminal_hold"": 26}",0,0,0.5076071005468162,,fa519830aff1d8191050eea32690bea1255b718e9ef9c46c9f6111b900c0fd5b,True,True,True,True,True,True,True,True,True,True,True,True,baseline,vendor,[],242,0.15952807941637465,0.45555870532989484,7.596194744110107,8.112154960632324,0.0,0,[],,0,0
pi,1773,carla,8.0,completed,True,525,/data/runs/b2d/controller/development-v4/1773/pi/carla,0.036707608801624575,0.0683306687630115,399,0.04026280827859372,0.06904441675961231,0.07109646498509346,2.234976364013147,0.0338039835738504,5.000000074505806,0.0006355684837791826,0.012107021538727003,525,0.14961499982746318,0.21687500266125417,0.3008939966093749,132,132,7,0.05303030303030303,64.96799545482804,7.9999995904303125,7.99999999684426,"{""stationary_trajectory"": 101, ""tracking"": 423, ""trajectory_behind"": 1}","{""rejoin"": 99, ""rejoin_curvature_concern"": 7, ""terminal_hold"": 26}",0,1,0.5076071005468162,,fac29a5436ba8a31cbe0a4ca65e89988e90930cf3d9942da7a01cc8cf7721e75,True,True,True,True,True,True,True,True,True,True,True,True,pi,pi,"[[0.5, 0.25]]",240,0.05871386429440092,0.18855137825012136,7.7415690422058105,8.01138687133789,0.0,240,[2],0,0,0
vendor,1773,pursuit,8.0,completed,True,529,/data/runs/b2d/controller/development-v2/1773/baseline/pursuit,0.04230393577958821,0.0715056215947536,410,0.043291647193192874,0.07470298193611108,0.2230767251716312,2.2293727321272243,0.19257334860083433,5.000000074505806,0.0004958216312455485,0.008711125357356093,529,0.1517389973741956,0.207697601581458,0.41723399772308767,133,133,6,0.045112781954887216,0.9189910678081676,7.99999961387331,7.999999976209266,"{""stationary_trajectory"": 101, ""tracking"": 428}","{""rejoin"": 101, ""rejoin_curvature_concern"": 6, ""terminal_hold"": 26}",0,0,0.5076071017930431,,1dee23554a5c792e6d70389b8c0767e26bb56e43d68ea4da1837c75b3a41ca67,True,True,True,True,True,True,True,True,True,True,True,True,baseline,vendor,[],242,0.157601848860035,0.44884252548217773,7.563575267791748,8.112126350402832,0.0,0,[],,0,0
pi,1773,pursuit,8.0,completed,True,525,/data/runs/b2d/controller/development-v4/1773/pi/pursuit,0.04941271094042161,0.07200201126452326,395,0.04401730156002217,0.07514703118060606,0.07097906265076608,2.233772932747138,0.07083336272728369,5.000000074505806,0.0005954251599878779,0.009178388314426642,525,0.15039699792396277,0.21545100316870958,0.31366400071419775,132,132,7,0.05303030303030303,22.823482320151737,7.999999656703145,7.99999998675452,"{""stationary_trajectory"": 101, ""tracking"": 423, ""trajectory_behind"": 1}","{""rejoin"": 99, ""rejoin_curvature_concern"": 7, ""terminal_hold"": 26}",0,1,0.5076071017930431,,16606a14bf29a9242ba944bfbb1fd18fe104cd7c5da6088ea24892a78c510b32,True,True,True,True,True,True,True,True,True,True,True,True,pi,pi,"[[0.5, 0.25]]",240,0.05856336284546476,0.1889733076095581,7.752068996429443,8.00809383392334,0.0,240,[2],0,0,0
vendor,1773,pursuit,8.0,completed,True,529,/data/runs/b2d/controller/development-v2/1773/max/pursuit,0.04547082425782011,0.08292990238106394,410,0.048544863536896174,0.08491838704180871,0.21996501177643032,2.229833392005131,0.18784860647168947,5.000000074505806,0.0009714331379453773,0.008642357058617824,529,0.15126999642234296,0.20689879893325266,0.2642250037752092,133,133,5,0.03759398496240601,1.0817153127221055,7.999999456812403,7.999999978691271,"{""stationary_trajectory"": 101, ""tracking"": 428}","{""rejoin"": 102, ""rejoin_curvature_concern"": 5, ""terminal_hold"": 26}",0,0,0.5076071017930431,,c5c96ee046d134127f52bf0bac868fdd92a8e8d5ea2ea03031516085bce6afc6,True,True,True,True,True,True,True,True,True,True,True,True,max,vendor,[],241,0.153670197633952,0.43330812454223633,7.632534027099609,8.095547676086426,0.0,0,[],,0,0
pi,1773,pursuit,8.0,completed,True,525,/data/runs/b2d/controller/development-v4/1773/pi-max/pursuit,0.0532359291828945,0.08268347580518398,398,0.04944027845415449,0.08489128913326499,0.07057028774293458,2.231477543675231,0.07586832407518941,5.000000074505806,0.000501722900802266,0.006794542031928844,525,0.153934997797478,0.21978520089760423,0.37479000457096845,132,132,7,0.05303030303030303,34.37534150250066,7.999999551015487,7.9999999946689,"{""stationary_trajectory"": 101, ""tracking"": 423, ""trajectory_behind"": 1}","{""rejoin"": 99, ""rejoin_curvature_concern"": 7, ""terminal_hold"": 26}",0,1,0.5076071017930431,,e0b9a7229435f17d2419839bfa99f2e06d3f9c8e5faea25b3957bb585be0480d,True,True,True,True,True,True,True,True,True,True,True,True,pi-max,pi,"[[0.5, 0.25]]",240,0.05805892738014116,0.18009610176086444,7.752467155456543,8.000401496887207,0.0,240,[2],0,0,0
vendor,1773-speed6,carla,6.0,completed,False,658,/data/runs/b2d/controller/development-v2-speed-diagnostic/1773/carla,0.04539125868105484,0.07800254099091798,535,0.04250453029461849,0.08409927456674962,0.6284915311465784,1.420180873575999,0.09178260847746514,5.000000074505806,0.0009837355660835866,0.0038709560698204507,658,0.15623999934177846,0.2377099994191667,0.33555199479451403,165,165,7,0.04242424242424243,6.059244102266813,5.999999590995013,5.9999999997808615,"{""stationary_trajectory"": 102, ""tracking"": 556}","{""rejoin"": 132, ""rejoin_curvature_concern"": 7, ""terminal_hold"": 26}",0,0,0.5076071005468162,cruise_speed,54b6ba6822dc0d30674e1f01261407cc66a35370abd864a4cd39dae93adba5b9,True,True,True,True,False,True,True,True,True,True,True,True,baseline,vendor,[],384,0.46500493382376284,1.3080437660217283,4.959249496459961,6.54464054107666,0.5208333333333334,384,"[0, 1, 2]",69,19,18
pi,1773-speed6,carla,6.0,completed,True,615,/data/runs/b2d/controller/development-v4/1773-speed6/pi/carla,0.03810331193530968,0.07720742465023459,500,0.041894933303205574,0.08258961755234823,0.03768919680561622,1.3363276704967617,0.06566491960756142,5.000000074505806,0.0009754781645921924,0.012057819975067946,615,0.15734600310679525,0.21709999564336607,0.294400000711903,154,154,4,0.025974025974025976,308.55182602181236,5.999999715743178,5.99999999618965,"{""stationary_trajectory"": 99, ""tracking"": 513, ""trajectory_behind"": 3}","{""rejoin"": 125, ""rejoin_curvature_concern"": 4, ""terminal_hold"": 25}",0,3,0.5076071017930431,,d654216a5154b2f56e4142dbdc13c34e8cfdadc5a53fd93d25d5793c3522aaad,True,True,True,True,True,True,True,True,True,True,True,True,pi,pi,"[[0.5, 0.25]]",358,0.03375851734122952,0.08923537731170672,5.8208231925964355,6.007502555847168,0.0,358,[2],0,0,0
vendor,1773-speed6,pursuit,6.0,completed,False,660,/data/runs/b2d/controller/development-v2-speed-diagnostic/1773/pursuit,0.060564178877810335,0.10640252909380496,539,0.047739769334128795,0.0959830762030228,0.6916927963157463,1.4374914973905057,0.13732985687525326,5.000000074505806,0.001000137963153526,0.006666933778762885,660,0.14592549996450543,0.2006921011343365,0.2633519980008714,165,165,7,0.04242424242424243,4.43290638309331,5.999999653169373,5.999999994304511,"{""stationary_trajectory"": 100, ""stop_hold"": 1, ""tracking"": 559}","{""rejoin"": 133, ""rejoin_curvature_concern"": 7, ""terminal_hold"": 25}",0,0,0.5076071017930431,cruise_speed,909e14f93ec6dfe2ee7ce5fca5c854f87d74d855913165ef17f63997d96d1843,True,True,True,True,False,True,True,True,True,True,True,True,baseline,vendor,[],386,0.5239265545733227,1.3421968221664429,3.829786539077759,6.606302261352539,0.538860103626943,386,"[0, 1, 2]",69,18,17
pi,1773-speed6,pursuit,6.0,completed,True,615,/data/runs/b2d/controller/development-v4/1773-speed6/pi/pursuit,0.04338364688704039,0.09146973663651298,500,0.04807949096166741,0.09657121674512827,0.03703920219613221,1.3324149876167857,0.05942050981973577,5.000000074505806,0.0005533538090490121,0.016416938768381344,615,0.1526889973320067,0.21655230084434152,0.2961610007332638,154,154,3,0.01948051948051948,319.59864478710887,5.999999737635594,5.999999965760394,"{""stationary_trajectory"": 99, ""tracking"": 513, ""trajectory_behind"": 3}","{""rejoin"": 126, ""rejoin_curvature_concern"": 3, ""terminal_hold"": 25}",0,3,0.5076071017930431,,fe8545d2ff444f0821296e1d7386a2896f0c43b57ebab2498ef2d46574ee2194,True,True,True,True,True,True,True,True,True,True,True,True,pi,pi,"[[0.5, 0.25]]",358,0.03304151493149927,0.09154982566833514,5.847140312194824,6.002074718475342,0.0,358,[2],0,0,0
