route_id,variant,preset,cruise_mps,v3_pass,v4_pass,v3_failed_gates,v4_failed_gates,cross_track_rms_m_v3,cross_track_rms_m_v4,cross_track_rms_m_delta_v4_minus_v3,cross_track_p95_m_v3,cross_track_p95_m_v4,cross_track_p95_m_delta_v4_minus_v3,speed_rms_mps_v3,speed_rms_mps_v4,speed_rms_mps_delta_v4_minus_v3,endpoint_error_m_v3,endpoint_error_m_v4,endpoint_error_m_delta_v4_minus_v3,stop_hold_s_v3,stop_hold_s_v4,stop_hold_s_delta_v4_minus_v3,stop_hold_displacement_m_v3,stop_hold_displacement_m_v4,stop_hold_displacement_m_delta_v4_minus_v3,stop_hold_max_speed_mps_v3,stop_hold_max_speed_mps_v4,stop_hold_max_speed_mps_delta_v4_minus_v3,pose_p90_m_v3,pose_p90_m_v4,pose_p90_m_delta_v4_minus_v3,gate_completed_v3,gate_completed_v4,gate_no_collision_v3,gate_no_collision_v4,gate_full_lateral_rms_v3,gate_full_lateral_rms_v4,gate_full_lateral_p95_v3,gate_full_lateral_p95_v4,gate_cruise_speed_v3,gate_cruise_speed_v4,gate_pose_v3,gate_pose_v4,gate_heading_v3,gate_heading_v4,gate_endpoint_v3,gate_endpoint_v4,gate_hold_duration_v3,gate_hold_duration_v4,gate_hold_displacement_v3,gate_hold_displacement_v4,gate_hold_speed_v3,gate_hold_speed_v4,gate_telemetry_complete_v3,gate_telemetry_complete_v4
1773,pi,carla,8.0,True,True,,,0.03551547798878035,0.036707608801624575,0.001192130812844222,0.06822591241197039,0.0683306687630115,0.00010475635104111036,0.10161168795309083,0.07109646498509346,-0.03051522296799737,0.1216069193887405,0.0338039835738504,-0.0878029358148901,5.000000074505806,5.000000074505806,0.0,0.0009753024054258085,0.0006355684837791826,-0.00033973392164662593,0.012247009747814848,0.012107021538727003,-0.00013998820908784487,0.19443510450111584,0.19187465024805087,-0.0025604542530649754,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1773,pi,pursuit,8.0,True,True,,,0.0429450121594597,0.04941271094042161,0.006467698780961907,0.0717571947702162,0.07200201126452326,0.00024481649430704855,0.10144857132576635,0.07097906265076608,-0.03046950867500027,0.13292083999021198,0.07083336272728369,-0.06208747726292829,5.000000074505806,5.000000074505806,0.0,0.000538882945656875,0.0005954251599878779,5.6542214331002844e-05,0.009324771291501272,0.009178388314426642,-0.00014638297707463,0.19583634681887613,0.19407393384500782,-0.0017624129738683103,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1773,pi-max,pursuit,8.0,True,True,,,0.04706237054577092,0.0532359291828945,0.006173558637123579,0.08261679326280273,0.08268347580518398,6.668254238124949e-05,0.10132683094036013,0.07057028774293458,-0.030756543197425545,0.16671084665385694,0.07586832407518941,-0.09084252257866753,5.000000074505806,5.000000074505806,0.0,0.0009708744798174074,0.000501722900802266,-0.0004691515790151414,0.010414657357490488,0.006794542031928844,-0.0036201153255616438,0.19371876238948144,0.19144422737148084,-0.002274535018000595,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1773-speed6,pi,carla,6.0,False,True,cruise_speed,,0.03565836863728957,0.03810331193530968,0.0024449432980201066,0.07905970291745024,0.07720742465023459,-0.0018522782672156513,0.5522802423297765,0.03768919680561622,-0.5145910455241602,0.14512100007217002,0.06566491960756142,-0.0794560804646086,5.000000074505806,5.000000074505806,0.0,0.0009878291321153583,0.0009754781645921924,-1.2350967523165916e-05,0.008191786531913147,0.012057819975067946,0.003866033443154799,0.1916787162551106,0.19595782827688082,0.004279112021770226,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1773-speed6,pi,pursuit,6.0,False,True,cruise_speed,,0.04986043940097971,0.04338364688704039,-0.006476792513939317,0.08771939739621784,0.09146973663651298,0.0037503392402951363,0.6393953774544832,0.03703920219613221,-0.602356175258351,0.07801451696749787,0.05942050981973577,-0.018594007147762097,5.000000074505806,5.000000074505806,0.0,0.001226591284551109,0.0005533538090490121,-0.0006732374755020969,0.026432460765273794,0.016416938768381344,-0.01001552199689245,0.1903875314898479,0.19709872981292606,0.006711198323078149,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1773-speed6,pi-max,pursuit,6.0,False,True,cruise_speed,,0.04765067669907116,0.04871488638500354,0.0010642096859323838,0.09094397114131424,0.0947833644756723,0.0038393933343580655,0.6271015124556867,0.03710718347207354,-0.5899943289836131,0.1571438574655699,0.059173889223870846,-0.09796996824169907,5.000000074505806,5.000000074505806,0.0,0.0016360096383750808,0.0009711119937606969,-0.0006648976446143839,0.04843167957148634,0.014974325456355289,-0.03345735411513105,0.19207427532533813,0.1960445477537438,0.003970272428405669,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
17563,pi,carla,6.0,True,True,,,0.1963602877494387,0.19050239807830618,-0.005857889671132516,0.5398546361568708,0.5115980112898111,-0.02825662486705971,0.27448842060056955,0.04674703659118392,-0.22774138400938562,0.09629833594962417,0.1013391175319244,0.00504078158230023,5.000000074505806,5.000000074505806,0.0,0.0024207610553824595,0.0014636107107742905,-0.000957150344608169,0.026265870836873442,0.010690145127164223,-0.015575725709709219,0.19854178709283418,0.20001716191370716,0.0014753748208729822,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
17563,pi,pursuit,6.0,True,True,,,0.19690136580796172,0.20563860709351753,0.008737241285555808,0.44051560063352024,0.45780038725133093,0.017284786617810688,0.39957947898070123,0.046914015212527076,-0.35266546376817415,0.1473918566839636,0.12177501950500189,-0.02561683717896171,5.000000074505806,5.000000074505806,0.0,0.0016238701122649603,0.0013646200241837405,-0.00025925008808121977,0.028574963783258613,0.017517809399648306,-0.011057154383610306,0.20986197566092615,0.2054772249253282,-0.004384750735597964,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
17563,pi-max,pursuit,6.0,False,True,cruise_speed,,0.1337658775941703,0.14076830214135558,0.007002424547185276,0.30513320881923867,0.35470645667358697,0.0495732478543483,0.6565277357143454,0.09726399184322732,-0.5592637438711181,0.18645870628672018,0.11119568870946343,-0.07526301757725674,5.000000074505806,5.000000074505806,0.0,0.0012089671766423425,0.0016242380685834537,0.00041527089194111117,0.012459401087207769,0.014466750474494722,0.002007349387286953,0.20619096900834094,0.21970448956987673,0.013513520561535791,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
24240,pi,carla,8.0,True,True,,,0.13323065158003375,0.13307419379215013,-0.0001564577878836182,0.24622094135712916,0.2473712528220392,0.001150311464910042,0.12302663270674603,0.08812954356166078,-0.034897089145085256,0.2074257791706895,0.07249075893680541,-0.1349350202338841,5.000000074505806,5.000000074505806,0.0,0.002295403334427394,0.0015051313197863572,-0.0007902720146410367,0.00514064703056886,0.02001768142512432,0.01487703439455546,0.1679810862231975,0.1674301289989198,-0.0005509572242776983,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
