group,preset,seed,route_id,attempt,scenario,harness_status,official_status,official_completion_pct,driving_completed,subset_diagnostic_sr,score_composed,score_penalty,vehicle_collisions,pedestrian_collisions,layout_collisions,vehicle_blocked,route_dev,scenario_timeouts,route_timeout,blocked_deviation_cause,unfinished_cause,collision_responsibility,telemetry_state,telemetry_ticks,pose_degraded_ticks,pose_degraded_fraction,invalid_pose_ticks,controller_invalid_motion_ticks,invalid_control_ticks,stale_ticks,sensor_frame_mismatch,missing_control_frames,low_speed_runs,low_speed_max_s,low_speed_high_target_runs,low_speed_high_target_max_s,full_truth_cte_rms_m,precollision_truth_cte_rms_m,first_collision_frame,attempt_path,tickruntime,physical_low_speed_stall,stall_or_unfinished_cause,collision_association,collision_counterpart_types,collision_frames,collision_event_indices,critical_event_types,critical_event_frames,criterion_event_path,control_path,controller_invalid_motion_precontact,pose_fault_precontact,low_speed_start_frames,low_speed_end_frames,attribution_limitation
carla-seed0,carla,0,17569,1,SequentialLaneChange_1,finished,Completed,100,True,False,60.0,0.6,1,0,0,0,0,0,0,not_applicable,not_applicable,unknown,ok,329,0,0.0,0,0,0,0,0,0,0,0,0,0,0.31150812752680984,0.24746322998709144,12582,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/17569/1,False,False,not_applicable,contact_recorded,vehicle.mercedes.coupe_2020,12582,1,COLLISION_VEHICLE,12582,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/17569/1/criterion_events.json,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/17569/1/control.jsonl,0,0,,,ego-only telemetry; counterpart motion/contact impulse unavailable; association is not fault assignment
carla-seed0,carla,0,2091,1,NonSignalizedJunctionLeftTurn_1,finished,Completed,100,True,False,14.207204,0.142072,3,0,0,0,0,0,0,not_applicable,not_applicable,unknown,ok,3882,0,0.0,0,1762,0,0,0,0,1,179.25000267103314,0,0,1.0275081938166954,0.10425608723785643,7853,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/2091/1,False,True,unknown,contact_before_or_during_low_speed,vehicle.audi.tt;vehicle.audi.tt;vehicle.ford.mustang,7853;11265;11530,2;3;4,COLLISION_VEHICLE;COLLISION_VEHICLE;COLLISION_VEHICLE;STOP_INFRACTION,7853;11265;11530;7838,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/2091/1/criterion_events.json,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/2091/1/control.jsonl,0,0,7881,11466,ego-only telemetry; counterpart motion/contact impulse unavailable; association is not fault assignment
carla-seed0,carla,0,25378,1,YieldToEmergencyVehicle_1,finished,Completed,100,True,False,70.0,0.7,0,0,0,0,0,0,0,not_applicable,not_applicable,not_applicable,ok,286,0,0.0,0,0,0,0,0,0,0,0,0,0,0.07968209273772736,0.07968209273772736,,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/25378/1,False,False,not_applicable,no_contact_recorded,,,,,,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/25378/1/criterion_events.json,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/25378/1/control.jsonl,0,0,,,ego-only telemetry; counterpart motion/contact impulse unavailable; association is not fault assignment
carla-seed0,carla,0,25381,1,HazardAtSideLane_1,finished,Completed,100,True,False,60.0,0.6,1,0,0,0,0,0,0,not_applicable,not_applicable,unknown,ok,390,0,0.0,0,2,0,0,0,0,0,0,0,0,0.07592926173094576,0.08131705693806673,2622,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/25381/1,False,False,not_applicable,contact_recorded,vehicle.gazelle.omafiets,2622,1,COLLISION_VEHICLE,2622,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/25381/1/criterion_events.json,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/25381/1/control.jsonl,2,0,,,ego-only telemetry; counterpart motion/contact impulse unavailable; association is not fault assignment
carla-seed0,carla,0,25424,1,ConstructionObstacleTwoWays_1,finished,Failed - TickRuntime,47.26,False,False,30.719,0.65,0,0,1,0,0,0,0,not_applicable,unknown,unknown,ok,4000,0,0.0,0,646,0,0,0,0,1,190.8500028438866,0,0,0.0615603718830472,0.0412539424073891,3554,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/25424/1,True,True,unknown,contact_before_or_during_low_speed,static.prop.trafficwarning,3554,1,COLLISION_STATIC,3554,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/25424/1/criterion_events.json,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/25424/1/control.jsonl,0,0,3577,7394,ego-only telemetry; counterpart motion/contact impulse unavailable; association is not fault assignment
carla-seed0,carla,0,26405,1,StaticCutIn_1,finished,Completed,100,True,True,100.0,1.0,0,0,0,0,0,0,0,not_applicable,not_applicable,not_applicable,ok,383,0,0.0,0,0,0,0,0,0,0,0,0,0,0.09413484692833526,0.09413484692833526,,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/26405/1,False,False,not_applicable,no_contact_recorded,,,,,,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/26405/1/criterion_events.json,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/26405/1/control.jsonl,0,0,,,ego-only telemetry; counterpart motion/contact impulse unavailable; association is not fault assignment
carla-seed0,carla,0,27494,1,BlockedIntersection_1,finished,Completed,100,True,False,60.0,0.6,1,0,0,0,0,0,0,not_applicable,not_applicable,unknown,ok,471,0,0.0,0,9,0,0,0,0,1,9.100000135600567,0,0,0.24993449833260323,0.3538067950921721,11852,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/27494/1,False,True,unknown,contact_before_or_during_low_speed,vehicle.dodge.charger_2020,11852,1,COLLISION_VEHICLE,11852,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/27494/1/criterion_events.json,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/27494/1/control.jsonl,0,0,11854,12036,ego-only telemetry; counterpart motion/contact impulse unavailable; association is not fault assignment
carla-seed0,carla,0,28198,1,SignalizedJunctionLeftTurnEnterFlow_1,finished,Completed,100,True,False,70.0,0.7,0,0,0,0,0,0,0,not_applicable,not_applicable,not_applicable,ok,252,0,0.0,0,0,0,0,0,0,0,0,0,0,0.24107879364898718,0.24107879364898718,,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/28198/1,False,False,not_applicable,no_contact_recorded,,,,,,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/28198/1/criterion_events.json,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/28198/1/control.jsonl,0,0,,,ego-only telemetry; counterpart motion/contact impulse unavailable; association is not fault assignment
carla-seed0,carla,0,3255,1,ParkingCrossingPedestrian_1,finished,Completed,100,True,False,18.0,0.18,2,1,0,0,0,0,0,not_applicable,not_applicable,unknown,ok,695,0,0.0,0,21,0,0,0,0,1,15.500000230967999,0,0,0.08285912597296019,0.06065666065396494,1263,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/3255/1,False,True,unknown,contact_before_or_during_low_speed,walker.pedestrian.0013;vehicle.dodge.charger_2020;vehicle.dodge.charger_2020,1263;1374;1715,1;2;3,COLLISION_PEDESTRIAN;COLLISION_VEHICLE;COLLISION_VEHICLE,1263;1374;1715,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/3255/1/criterion_events.json,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/3255/1/control.jsonl,0,0,1409,1719,ego-only telemetry; counterpart motion/contact impulse unavailable; association is not fault assignment
carla-seed0,carla,0,3514,1,ParkingExit_1,finished,Completed,100,True,False,60.0,0.6,1,0,0,0,0,0,0,not_applicable,not_applicable,unknown,ok,679,0,0.0,0,2,0,0,0,0,1,14.150000210851431,1,10.750000160187483,1.1815837129485631,3.0939968720043316,379,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/3514/1,False,True,unknown,contact_before_or_during_low_speed,vehicle.lincoln.mkz_2020,379,1,COLLISION_VEHICLE,379,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/3514/1/criterion_events.json,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/3514/1/control.jsonl,0,0,387,670,ego-only telemetry; counterpart motion/contact impulse unavailable; association is not fault assignment
carla-seed1,carla,1,17569,1,SequentialLaneChange_1,finished,Completed,100,True,False,60.0,0.6,1,0,0,0,0,0,0,not_applicable,not_applicable,unknown,ok,329,0,0.0,0,0,0,0,0,0,0,0,0,0,0.31150812752680984,0.24746322998709144,11861,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/17569/1,False,False,not_applicable,contact_recorded,vehicle.mercedes.coupe_2020,11861,1,COLLISION_VEHICLE,11861,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/17569/1/criterion_events.json,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/17569/1/control.jsonl,0,0,,,ego-only telemetry; counterpart motion/contact impulse unavailable; association is not fault assignment
carla-seed1,carla,1,2091,1,NonSignalizedJunctionLeftTurn_1,finished,Failed - TickRuntime,60.64,False,False,4.579482,0.075519,4,0,0,0,0,0,0,not_applicable,unknown,unknown,ok,4000,0,0.0,0,1765,0,0,0,0,2,179.25000267103314,0,0,1.480507429300244,0.10425608723785643,7017,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/2091/1,True,True,unknown,contact_before_or_during_low_speed,vehicle.audi.tt;vehicle.audi.tt;vehicle.chevrolet.impala;vehicle.chevrolet.impala,7017;10429;10676;10858,2;3;4;5,COLLISION_VEHICLE;COLLISION_VEHICLE;COLLISION_VEHICLE;COLLISION_VEHICLE;STOP_INFRACTION,7017;10429;10676;10858;7002,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/2091/1/criterion_events.json,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/2091/1/control.jsonl,0,0,7045;10683,10630;10783,ego-only telemetry; counterpart motion/contact impulse unavailable; association is not fault assignment
carla-seed1,carla,1,25378,1,YieldToEmergencyVehicle_1,finished,Completed,100,True,False,70.0,0.7,0,0,0,0,0,0,0,not_applicable,not_applicable,not_applicable,ok,286,0,0.0,0,0,0,0,0,0,0,0,0,0,0.07968209273772736,0.07968209273772736,,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/25378/1,False,False,not_applicable,no_contact_recorded,,,,,,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/25378/1/criterion_events.json,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/25378/1/control.jsonl,0,0,,,ego-only telemetry; counterpart motion/contact impulse unavailable; association is not fault assignment
carla-seed1,carla,1,25381,1,HazardAtSideLane_1,finished,Completed,100,True,False,60.0,0.6,1,0,0,0,0,0,0,not_applicable,not_applicable,unknown,ok,390,0,0.0,0,2,0,0,0,0,0,0,0,0,0.07592926173094576,0.08131705693806673,1830,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/25381/1,False,False,not_applicable,contact_recorded,vehicle.gazelle.omafiets,1830,1,COLLISION_VEHICLE,1830,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/25381/1/criterion_events.json,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/25381/1/control.jsonl,2,0,,,ego-only telemetry; counterpart motion/contact impulse unavailable; association is not fault assignment
carla-seed1,carla,1,25424,1,ConstructionObstacleTwoWays_1,finished,Failed - TickRuntime,47.26,False,False,30.719,0.65,0,0,1,0,0,0,0,not_applicable,unknown,unknown,ok,4000,0,0.0,0,646,0,0,0,0,1,190.8500028438866,0,0,0.0615603718830472,0.0412539424073891,2798,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/25424/1,True,True,unknown,contact_before_or_during_low_speed,static.prop.trafficwarning,2798,1,COLLISION_STATIC,2798,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/25424/1/criterion_events.json,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/25424/1/control.jsonl,0,0,2821,6638,ego-only telemetry; counterpart motion/contact impulse unavailable; association is not fault assignment
