route,variant,segment,mode,updates,join_length_changes,raw_delta_count,raw_delta_rms,raw_delta_p95_abs,raw_delta_max_abs,emitted_delta_count,emitted_delta_rms,emitted_delta_p95_abs,emitted_delta_max_abs,aim_delta_m_count,aim_delta_m_rms,aim_delta_m_p95_abs,aim_delta_m_max_abs,source_position_error_m_count,source_position_error_m_rms,source_position_error_m_p95_abs,source_position_error_m_max_abs,source_heading_error_deg_count,source_heading_error_deg_rms,source_heading_error_deg_p95_abs,source_heading_error_deg_max_abs
26966,baseline-max,1,truth_position,18,0,18,0.0415401613226609,0.05846248004360924,0.059421000968148535,18,0.0415401613226609,0.05846248004360924,0.059421000968148535,18,0.1292071291364598,0.18467884235146428,0.19142505332137832,18,0.3488575388180502,0.5003054066209257,0.5152897270492689,18,0.2446797208501148,0.4385068714656575,0.4447558605469005
26966,baseline-max,1,truth_heading,18,0,18,0.0036527120169315558,0.006119608269372315,0.006362776129903602,18,0.0036527120169315558,0.006119608269372315,0.006362776129903602,18,0.011431318668934544,0.020161519395951847,0.020418624895693276,18,0.3488575388180502,0.5003054066209257,0.5152897270492689,18,0.2446797208501148,0.4385068714656575,0.4447558605469005
26966,baseline-max,1,truth_both,18,0,18,0.04048878794767607,0.05678122158370524,0.05790843448434488,18,0.04048878794767607,0.05678122158370524,0.05790843448434488,18,0.12650070342613065,0.18439044170964408,0.18646759804025495,18,0.3488575388180502,0.5003054066209257,0.5152897270492689,18,0.2446797208501148,0.4385068714656575,0.4447558605469005
26966,short-max,1,truth_position,18,0,18,0.04555253937290462,0.06533595184685048,0.06773381149384258,18,0.04537441194714763,0.06533595184685048,0.06773381149384258,18,0.08155835299241904,0.12153290640176362,0.12441501631774228,18,0.35074217840781885,0.5170479589316869,0.5262441204697903,18,0.2700330110304723,0.5098193033455993,0.5371981207009117
26966,short-max,1,truth_heading,18,0,18,0.004134805327053723,0.007203190411648402,0.007741630113840714,18,0.003927181503907826,0.007203190411648402,0.007741630113840714,18,0.007854394107664791,0.01502354782592351,0.01579977075715236,18,0.35074217840781885,0.5170479589316869,0.5262441204697903,18,0.2700330110304723,0.5098193033455993,0.5371981207009117
26966,short-max,1,truth_both,18,0,18,0.04422206121288916,0.06452790434471098,0.0649227796202014,18,0.043898074791266034,0.06452790434471098,0.0649227796202014,18,0.07990863107140668,0.11930232039169933,0.12015918096668139,18,0.35074217840781885,0.5170479589316869,0.5262441204697903,18,0.2700330110304723,0.5098193033455993,0.5371981207009117
24240,baseline-max,1,truth_position,30,0,30,0.010964069393072278,0.01815682097459661,0.01894018194871997,30,0.010964069393072278,0.01815682097459661,0.01894018194871997,30,0.03226588273805248,0.05438094754480725,0.05668880562465913,30,0.09580555540469819,0.15295101580692197,0.1752229283228157,30,0.034907120851136904,0.0702044148010901,0.08974284749206825
24240,baseline-max,1,truth_heading,30,0,30,0.0005597118438241888,0.0011259857461572375,0.0014393657616417477,30,0.0005597118438241888,0.0011259857461572375,0.0014393657616417477,30,0.00161845317543927,0.0032675679950072466,0.00411519324063878,30,0.09580555540469819,0.15295101580692197,0.1752229283228157,30,0.034907120851136904,0.0702044148010901,0.08974284749206825
24240,baseline-max,1,truth_both,30,0,30,0.011003602956982389,0.018287993240053122,0.018886028679003408,30,0.011003602956982389,0.018287993240053122,0.018886028679003408,30,0.03235660494221321,0.05411360464854439,0.05652692114574166,30,0.09580555540469819,0.15295101580692197,0.1752229283228157,30,0.034907120851136904,0.0702044148010901,0.08974284749206825
24240,short-max,1,truth_position,30,0,30,0.011793318612484508,0.019424151617307976,0.02043076510096,30,0.011793318612484508,0.019424151617307976,0.02043076510096,30,0.020025976593989057,0.03297430930169042,0.03463956358020156,30,0.09596851819751598,0.15362517058980635,0.17678576937126203,30,0.03554634311956241,0.07967374663025716,0.08719922191143514
24240,short-max,1,truth_heading,30,0,30,0.0005982935206568987,0.0013430690056311218,0.0014632078488232975,30,0.0005982935206568987,0.0013430690056311218,0.0014632078488232975,30,0.0010161991715427283,0.0022777660562093606,0.0024936585976633088,30,0.09596851819751598,0.15362517058980635,0.17678576937126203,30,0.03554634311956241,0.07967374663025716,0.08719922191143514
24240,short-max,1,truth_both,30,0,30,0.011795456140252188,0.019698329057260457,0.020465365166307398,30,0.011795456140252188,0.019698329057260457,0.020465365166307398,30,0.020032103017866638,0.03344189292075199,0.03469814658543127,30,0.09596851819751598,0.15362517058980635,0.17678576937126203,30,0.03554634311956241,0.07967374663025716,0.08719922191143514
17563,baseline-max,1,truth_position,18,1,18,0.0447936553366337,0.0743085929527928,0.1626603614266265,18,0.041925903255764445,0.07285770466159165,0.1529877728186187,18,0.0815097858315871,0.13621877986775466,0.2949999338192428,18,0.18554946855617,0.2759963612799228,0.30288516211113126,18,0.3268906047994946,0.6538494133053782,0.8085033341001042
17563,baseline-max,1,truth_heading,18,0,18,0.005636332267693156,0.010350112824121871,0.015008382056711289,18,0.004159868989779089,0.008095048875937212,0.015008382056711289,18,0.01138277663996458,0.02378653576417649,0.029267239737810338,18,0.18554946855617,0.2759963612799228,0.30288516211113126,18,0.3268906047994946,0.6538494133053782,0.8085033341001042
17563,baseline-max,1,truth_both,18,1,18,0.04189530826208892,0.07058716574900038,0.15316604708886983,18,0.03893769848024171,0.06913627745779923,0.14349345848086204,18,0.07638008631883722,0.12938242181171675,0.27790280688817115,18,0.18554946855617,0.2759963612799228,0.30288516211113126,18,0.3268906047994946,0.6538494133053782,0.8085033341001042
