condition,status,field,band,baseline,candidate,comparison,limit
G2/26966/baseline-linear/completed,pass,,,,,,
G2/26966/baseline-linear/no_collision,pass,,,,,,
G2/26966/baseline-linear/full_lateral_rms,pass,,,,,,
G2/26966/baseline-linear/full_lateral_p95,pass,,,,,,
G2/26966/baseline-linear/cruise_speed,pass,,,,,,
G2/26966/baseline-linear/pose,pass,,,,,,
G2/26966/baseline-linear/heading,pass,,,,,,
G2/26966/baseline-linear/endpoint,pass,,,,,,
G2/26966/baseline-linear/hold_duration,pass,,,,,,
G2/26966/baseline-linear/hold_displacement,pass,,,,,,
G2/26966/baseline-linear/hold_speed,pass,,,,,,
G2/26966/baseline-linear/telemetry_complete,pass,,,,,,
case/26966/baseline-linear/no_invalid_control,pass,,,,,,
case/26966/baseline-linear/complete_frames_and_truth,pass,,,,,,
case/26966/baseline-linear/reason_evidence,pass,,,,,,
case/26966/baseline-linear/aim_mode_evidence,pass,,,,,,
G2/26966/candidate-hermite/completed,pass,,,,,,
G2/26966/candidate-hermite/no_collision,pass,,,,,,
G2/26966/candidate-hermite/full_lateral_rms,pass,,,,,,
G2/26966/candidate-hermite/full_lateral_p95,pass,,,,,,
G2/26966/candidate-hermite/cruise_speed,pass,,,,,,
G2/26966/candidate-hermite/pose,pass,,,,,,
G2/26966/candidate-hermite/heading,pass,,,,,,
G2/26966/candidate-hermite/endpoint,pass,,,,,,
G2/26966/candidate-hermite/hold_duration,pass,,,,,,
G2/26966/candidate-hermite/hold_displacement,pass,,,,,,
G2/26966/candidate-hermite/hold_speed,pass,,,,,,
G2/26966/candidate-hermite/telemetry_complete,pass,,,,,,
case/26966/candidate-hermite/no_invalid_control,pass,,,,,,
case/26966/candidate-hermite/complete_frames_and_truth,pass,,,,,,
case/26966/candidate-hermite/reason_evidence,pass,,,,,,
case/26966/candidate-hermite/aim_mode_evidence,pass,,,,,,
G2/17563/baseline-linear/completed,pass,,,,,,
G2/17563/baseline-linear/no_collision,pass,,,,,,
G2/17563/baseline-linear/full_lateral_rms,pass,,,,,,
G2/17563/baseline-linear/full_lateral_p95,pass,,,,,,
G2/17563/baseline-linear/cruise_speed,pass,,,,,,
G2/17563/baseline-linear/pose,pass,,,,,,
G2/17563/baseline-linear/heading,pass,,,,,,
G2/17563/baseline-linear/endpoint,pass,,,,,,
G2/17563/baseline-linear/hold_duration,pass,,,,,,
G2/17563/baseline-linear/hold_displacement,pass,,,,,,
G2/17563/baseline-linear/hold_speed,pass,,,,,,
G2/17563/baseline-linear/telemetry_complete,pass,,,,,,
case/17563/baseline-linear/no_invalid_control,pass,,,,,,
case/17563/baseline-linear/complete_frames_and_truth,pass,,,,,,
case/17563/baseline-linear/reason_evidence,pass,,,,,,
case/17563/baseline-linear/aim_mode_evidence,pass,,,,,,
G2/17563/candidate-hermite/completed,pass,,,,,,
G2/17563/candidate-hermite/no_collision,pass,,,,,,
G2/17563/candidate-hermite/full_lateral_rms,pass,,,,,,
G2/17563/candidate-hermite/full_lateral_p95,pass,,,,,,
G2/17563/candidate-hermite/cruise_speed,pass,,,,,,
G2/17563/candidate-hermite/pose,pass,,,,,,
G2/17563/candidate-hermite/heading,pass,,,,,,
G2/17563/candidate-hermite/endpoint,pass,,,,,,
G2/17563/candidate-hermite/hold_duration,pass,,,,,,
G2/17563/candidate-hermite/hold_displacement,pass,,,,,,
G2/17563/candidate-hermite/hold_speed,pass,,,,,,
G2/17563/candidate-hermite/telemetry_complete,pass,,,,,,
case/17563/candidate-hermite/no_invalid_control,pass,,,,,,
case/17563/candidate-hermite/complete_frames_and_truth,pass,,,,,,
case/17563/candidate-hermite/reason_evidence,pass,,,,,,
case/17563/candidate-hermite/aim_mode_evidence,pass,,,,,,
G2/24240/baseline-linear/completed,pass,,,,,,
G2/24240/baseline-linear/no_collision,pass,,,,,,
G2/24240/baseline-linear/full_lateral_rms,pass,,,,,,
G2/24240/baseline-linear/full_lateral_p95,pass,,,,,,
G2/24240/baseline-linear/cruise_speed,pass,,,,,,
G2/24240/baseline-linear/pose,pass,,,,,,
G2/24240/baseline-linear/heading,pass,,,,,,
G2/24240/baseline-linear/endpoint,pass,,,,,,
G2/24240/baseline-linear/hold_duration,pass,,,,,,
G2/24240/baseline-linear/hold_displacement,pass,,,,,,
G2/24240/baseline-linear/hold_speed,pass,,,,,,
G2/24240/baseline-linear/telemetry_complete,pass,,,,,,
case/24240/baseline-linear/no_invalid_control,pass,,,,,,
case/24240/baseline-linear/complete_frames_and_truth,pass,,,,,,
case/24240/baseline-linear/reason_evidence,pass,,,,,,
case/24240/baseline-linear/aim_mode_evidence,pass,,,,,,
G2/24240/candidate-hermite/completed,pass,,,,,,
G2/24240/candidate-hermite/no_collision,pass,,,,,,
G2/24240/candidate-hermite/full_lateral_rms,pass,,,,,,
G2/24240/candidate-hermite/full_lateral_p95,pass,,,,,,
G2/24240/candidate-hermite/cruise_speed,pass,,,,,,
G2/24240/candidate-hermite/pose,pass,,,,,,
G2/24240/candidate-hermite/heading,pass,,,,,,
G2/24240/candidate-hermite/endpoint,pass,,,,,,
G2/24240/candidate-hermite/hold_duration,pass,,,,,,
G2/24240/candidate-hermite/hold_displacement,pass,,,,,,
G2/24240/candidate-hermite/hold_speed,pass,,,,,,
G2/24240/candidate-hermite/telemetry_complete,pass,,,,,,
case/24240/candidate-hermite/no_invalid_control,pass,,,,,,
case/24240/candidate-hermite/complete_frames_and_truth,pass,,,,,,
case/24240/candidate-hermite/reason_evidence,pass,,,,,,
case/24240/candidate-hermite/aim_mode_evidence,pass,,,,,,
coverage/26966/baseline-linear/1,pass,,,,,,
coverage/26966/candidate-hermite/1,pass,,,,,,
turn/26966/1/cte_p95_delta,fail,cte_m_p95_abs,window,0.8492240582260485,0.9035084018156794,<=,0.8992240582260486
turn/26966/1/cte_peak_delta,pass,cte_m_max_abs,window,0.8564581437705158,0.9117313241547736,<=,0.9564581437705157
turn/26966/1/heading_p95_delta,pass,heading_deg_p95_abs,window,4.271546829218098,4.672212454684561,<=,5.271546829218098
turn/26966/1/speed_error_rms_delta,pass,speed_error_mps_rms,window,0.14987791495845978,0.1493758868419154,<=,0.2498779149584598
turn/26966/1/actual_speed_mean_drop,pass,actual_speed_mean_mps,window,7.885128023256182,7.886453950072532,>=,7.685128023256182
turn/26966/1/lateral_accel_p95_ratio,pass,lateral_accel_mps2_p95_abs,window,8.598158694119283,8.81608781371773,<=,9.457974563531211
turn/26966/1/cte_rms_delta,fail,cte_m_rms,window,0.5586937052558099,0.5891289887684477,<=,0.5886937052558099
turn/26966/1/primary_emitted_rate_20percent,fail,steer_rate_per_s_p95_abs,window,0.80010558695692,0.9406870658797719,<=,0.6400844695655361
turn/26966/1/primary_lateral_jerk_strict_decrease,pass,lateral_jerk_mps3_p95_abs,window,33.81120271213004,31.664052370086623,<,33.81120271113004
turn/26966/1/post10m_rms_no_increase,pass,cte_m_rms,post10m,0.31704522217735676,0.30221234581682993,<=,0.31704522217735676
coverage/17563/baseline-linear/1,pass,,,,,,
coverage/17563/candidate-hermite/1,pass,,,,,,
turn/17563/1/cte_p95_delta,pass,cte_m_p95_abs,window,0.5047732288596004,0.48590529279774247,<=,0.5547732288596005
turn/17563/1/cte_peak_delta,pass,cte_m_max_abs,window,0.6239699785341293,0.6018920918593557,<=,0.7239699785341293
turn/17563/1/heading_p95_delta,pass,heading_deg_p95_abs,window,4.298981181070903,4.248087823048093,<=,5.298981181070903
turn/17563/1/speed_error_rms_delta,pass,speed_error_mps_rms,window,0.11602060602626185,0.12539218254873513,<=,0.21602060602626186
turn/17563/1/actual_speed_mean_drop,pass,actual_speed_mean_mps,window,5.965468907530962,5.96649047182497,>=,5.765468907530962
turn/17563/1/lateral_accel_p95_ratio,pass,lateral_accel_mps2_p95_abs,window,5.772650551226384,6.032547713783271,<=,6.349915606349023
turn/17563/1/cte_rms_delta,pass,cte_m_rms,window,0.23523565258474682,0.23651038611107392,<=,0.2652356525847468
turn/17563/1/emitted_rate_p95_ratio,pass,steer_rate_per_s_p95_abs,window,2.0,2.0,<=,2.4
turn/17563/1/lateral_jerk_p95_ratio,pass,lateral_jerk_mps3_p95_abs,window,44.6895802980948,42.892511744103935,<=,49.15853832790429
turn/17563/1/recovery_no_new_censor,pass,,,"{'route': '17563', 'variant': 'baseline-linear', 'preset': 'pursuit', 'segment': 1, 'kind': 'S', 'core_exited': True, 'recovery_time_s': 0.10000000149011612, 'recovery_censored': False, 'padded_window_exited': True}","{'route': '17563', 'variant': 'candidate-hermite', 'preset': 'pursuit', 'segment': 1, 'kind': 'S', 'core_exited': True, 'recovery_time_s': 0.10000000149011612, 'recovery_censored': False, 'padded_window_exited': True}",,
turn/17563/1/recovery_time_delta,pass,,,0.10000000149011612,0.10000000149011612,,0.20000000149011612
coverage/17563/baseline-linear/2,pass,,,,,,
coverage/17563/candidate-hermite/2,pass,,,,,,
turn/17563/2/cte_p95_delta,pass,cte_m_p95_abs,window,0.48350459572405835,0.513067945575448,<=,0.5335045957240584
turn/17563/2/cte_peak_delta,pass,cte_m_max_abs,window,0.563004911519586,0.6015290760410167,<=,0.663004911519586
turn/17563/2/heading_p95_delta,pass,heading_deg_p95_abs,window,5.7445243200217755,6.160852719730324,<=,6.7445243200217755
turn/17563/2/speed_error_rms_delta,pass,speed_error_mps_rms,window,0.1483913462648166,0.14036887283749974,<=,0.2483913462648166
turn/17563/2/actual_speed_mean_drop,pass,actual_speed_mean_mps,window,6.001075019697445,6.0014514598349855,>=,5.8010750196974445
turn/17563/2/lateral_accel_p95_ratio,pass,lateral_accel_mps2_p95_abs,window,6.9093024609682,6.640622496078761,<=,7.600232707065021
turn/17563/2/cte_rms_delta,pass,cte_m_rms,window,0.27319846868392533,0.2837358895316314,<=,0.3031984686839253
turn/17563/2/emitted_rate_p95_ratio,pass,steer_rate_per_s_p95_abs,window,2.0,2.0,<=,2.4
turn/17563/2/lateral_jerk_p95_ratio,pass,lateral_jerk_mps3_p95_abs,window,50.21428505542657,45.594194696300235,<=,55.23571356096923
turn/17563/2/recovery_no_new_censor,pass,,,"{'route': '17563', 'variant': 'baseline-linear', 'preset': 'pursuit', 'segment': 2, 'kind': 'S', 'core_exited': True, 'recovery_time_s': 0.7000000104308128, 'recovery_censored': False, 'padded_window_exited': True}","{'route': '17563', 'variant': 'candidate-hermite', 'preset': 'pursuit', 'segment': 2, 'kind': 'S', 'core_exited': True, 'recovery_time_s': 0.7000000104308128, 'recovery_censored': False, 'padded_window_exited': True}",,
turn/17563/2/recovery_time_delta,pass,,,0.7000000104308128,0.7000000104308128,,0.8000000104308128
coverage/24240/baseline-linear/1,pass,,,,,,
coverage/24240/candidate-hermite/1,pass,,,,,,
turn/24240/1/cte_p95_delta,pass,cte_m_p95_abs,window,0.17990790927514175,0.1924779623941696,<=,0.22990790927514176
turn/24240/1/cte_peak_delta,pass,cte_m_max_abs,window,0.18263325542188472,0.19562134968858055,<=,0.2826332554218847
turn/24240/1/heading_p95_delta,pass,heading_deg_p95_abs,window,1.7011047879041499,1.72640061103824,<=,2.70110478790415
turn/24240/1/speed_error_rms_delta,pass,speed_error_mps_rms,window,0.15322330478854518,0.15520719476597367,<=,0.25322330478854516
turn/24240/1/actual_speed_mean_drop,pass,actual_speed_mean_mps,window,7.882531342060794,7.881543533697184,>=,7.682531342060794
turn/24240/1/lateral_accel_p95_ratio,pass,lateral_accel_mps2_p95_abs,window,1.9532004894671726,1.9131984342941855,<=,2.14852053841389
turn/24240/1/cte_rms_delta,pass,cte_m_rms,window,0.10780673813751082,0.1155567277027442,<=,0.13780673813751082
turn/24240/1/primary_emitted_rate_20percent,fail,steer_rate_per_s_p95_abs,window,0.2183799830629378,0.23256624384753904,<=,0.17470398645035023
turn/24240/1/primary_lateral_jerk_strict_decrease,pass,lateral_jerk_mps3_p95_abs,window,11.891843395910433,8.73769990527716,<,11.891843394910433
turn/24240/1/recovery_no_new_censor,pass,,,"{'route': '24240', 'variant': 'baseline-linear', 'preset': 'pursuit', 'segment': 1, 'kind': 'left', 'core_exited': True, 'recovery_time_s': 0.0, 'recovery_censored': False, 'padded_window_exited': True}","{'route': '24240', 'variant': 'candidate-hermite', 'preset': 'pursuit', 'segment': 1, 'kind': 'left', 'core_exited': True, 'recovery_time_s': 0.0, 'recovery_censored': False, 'padded_window_exited': True}",,
turn/24240/1/recovery_time_delta,pass,,,0.0,0.0,,0.1
