dataset,route,segment,log,visit,frame_start,frame_end,count,sim_time_start,sim_time_end,moving_count_ge_2mps,speed_min_mps,speed_max_mps
G2-v4,17563,1,/data/runs/b2d/controller/development-v4/17563/pi/carla/validation_trace.json,1,4180,4248,69,208.59736520284787,211.99736525351182,69,5.869136550774368,6.013255750990334
G2-v4,17563,2,/data/runs/b2d/controller/development-v4/17563/pi/carla/validation_trace.json,1,4332,4401,70,216.1973653160967,219.6473653675057,70,5.940865144154212,6.035984477191956
G2-v4,17563,1,/data/runs/b2d/controller/development-v4/17563/pi/pursuit/validation_trace.json,1,4789,4857,69,239.04736565658823,242.44736570725217,69,5.919289023423176,6.019380913425557
G2-v4,17563,2,/data/runs/b2d/controller/development-v4/17563/pi/pursuit/validation_trace.json,1,4941,5010,70,246.64736576983705,250.09736582124606,70,5.929130866619626,6.042171279073281
G2-v4,17563,1,/data/runs/b2d/controller/development-v4/17563/pi-max/pursuit/validation_trace.json,1,5399,5468,70,269.54736611107364,272.99736616248265,70,5.770955884528283,6.1910190713562505
G2-v4,17563,2,/data/runs/b2d/controller/development-v4/17563/pi-max/pursuit/validation_trace.json,1,5552,5622,71,277.1973662250675,280.6973662772216,71,5.681845768753882,6.265269274790474
G2-v4,24240,1,/data/runs/b2d/controller/development-v4/24240/pi/carla/validation_trace.json,1,5973,6089,117,12.124602541327477,17.92460262775421,117,7.641146160598443,7.995623840697036
G2-v4,24240,1,/data/runs/b2d/controller/development-v4/24240/pi/pursuit/validation_trace.json,1,6462,6578,117,36.57460290566087,42.3746029920876,117,7.643145845536811,7.9830286537705355
G2-v4,24240,1,/data/runs/b2d/controller/development-v4/24240/pi-max/pursuit/validation_trace.json,1,6947,7063,117,60.82460326701403,66.62460335344076,117,7.639035893855662,7.9899447239987005
G2-v4,25854,1,/data/runs/b2d/controller/development-v4/25854/pi/carla/validation_trace.json,1,8661,8799,139,4.4770170147530735,11.377017117571086,116,0.0,7.90847375983439
G2-v4,25854,1,/data/runs/b2d/controller/development-v4/25854/pi/pursuit/validation_trace.json,1,9234,9373,140,33.12701744167134,40.07701754523441,117,0.0,7.924112543127224
G2-v4,25854,1,/data/runs/b2d/controller/development-v4/25854/pi-max/pursuit/validation_trace.json,1,9808,9947,140,61.82701786933467,68.77701797289774,117,0.0,7.924174528735197
G2-v4,26966,1,/data/runs/b2d/controller/development-v4/26966/pi/carla/validation_trace.json,1,7456,7521,66,9.571070414502174,12.821070462930948,66,7.738015697472902,7.98409841736942
G2-v4,26966,1,/data/runs/b2d/controller/development-v4/26966/pi/pursuit/validation_trace.json,1,7881,7950,70,30.82107073115185,34.271070782560855,70,7.745056080659147,7.983153761003863
G2-v4,26966,1,/data/runs/b2d/controller/development-v4/26966/pi-max/pursuit/validation_trace.json,1,8315,8384,70,52.52107105450705,55.97107110591605,70,7.726730901387663,8.00615685029484
Dev10-v4-pursuit-seed0-attempt1,17569,1,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/17569/1/control.jsonl,1,14566,14618,53,6.050000090152025,8.650000128895044,53,7.58526289705497,8.045851894688603
Dev10-v4-pursuit-seed0-attempt1,17569,2,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/17569/1/control.jsonl,1,14681,14734,54,11.800000175833702,14.45000021532178,54,6.983471141108829,8.253700096436512
Dev10-v4-pursuit-seed0-attempt1,2091,1,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/2091/1/control.jsonl,1,9818,13705,3888,4.400000065565109,198.7500029616058,87,-1.3987045129567992,7.756848326647286
Dev10-v4-pursuit-seed0-attempt1,27494,1,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/27494/1/control.jsonl,1,13915,14188,274,5.4000000804662704,19.05000028386712,81,-0.9066605537319978,8.014004297494258
Dev10-v4-pursuit-seed0-attempt1,28198,1,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/28198/1/control.jsonl,1,14918,15012,95,4.6000000685453415,9.300000138580799,95,7.708533992014745,7.999737607058847
