group,route,attempt,harness_finished,status,completion
carla-seed0,17569,1,True,finished,100
carla-seed0,2091,1,True,finished,100
carla-seed0,25378,1,True,finished,100
carla-seed0,25381,1,True,finished,100
carla-seed0,25424,1,True,finished,47.26
carla-seed0,26405,1,True,finished,100
carla-seed0,27494,1,True,finished,100
carla-seed0,28198,1,True,finished,100
carla-seed0,3255,1,True,finished,100
carla-seed0,3514,1,True,finished,100
carla-seed1,17569,1,True,finished,100
carla-seed1,2091,1,True,finished,60.64
carla-seed1,25378,1,True,finished,100
carla-seed1,25381,1,True,finished,100
carla-seed1,25424,1,True,finished,47.26
carla-seed1,26405,1,True,finished,100
carla-seed1,27494,1,True,finished,100
carla-seed1,28198,1,True,finished,100
carla-seed1,3255,1,False,server_died_rc139,
carla-seed1,3255,2,True,finished,100
carla-seed1,3514,1,True,finished,100
pursuit-seed0,17569,1,True,finished,100
pursuit-seed0,2091,1,True,finished,79.01
pursuit-seed0,25378,1,True,finished,100
pursuit-seed0,25381,1,True,finished,100
pursuit-seed0,25424,1,True,finished,47.26
pursuit-seed0,26405,1,True,finished,100
pursuit-seed0,27494,1,True,finished,100
pursuit-seed0,28198,1,True,finished,100
pursuit-seed0,3255,1,True,finished,100
pursuit-seed0,3514,1,True,finished,100
pursuit-seed1,17569,1,True,finished,100
pursuit-seed1,2091,1,True,finished,79.01
pursuit-seed1,25378,1,True,finished,100
pursuit-seed1,25381,1,True,finished,100
pursuit-seed1,25424,1,True,finished,47.26
pursuit-seed1,26405,1,True,finished,100
pursuit-seed1,27494,1,True,finished,100
pursuit-seed1,28198,1,True,finished,100
pursuit-seed1,3255,1,True,finished,100
pursuit-seed1,3514,1,True,finished,100
tcp-seed0,17569,1,True,finished,100
tcp-seed0,2091,1,False,server_died_rc139,
tcp-seed0,2091,2,True,finished,100
tcp-seed0,25378,1,True,finished,100
tcp-seed0,25381,1,True,finished,100
tcp-seed0,25424,1,True,finished,47.26
tcp-seed0,26405,1,True,finished,100
tcp-seed0,27494,1,True,finished,100
tcp-seed0,28198,1,True,finished,100
tcp-seed0,3255,1,True,finished,100
tcp-seed0,3514,1,True,finished,4.6
tcp-seed1,17569,1,True,finished,100
tcp-seed1,2091,1,True,finished,100
tcp-seed1,25378,1,True,finished,100
tcp-seed1,25381,1,True,finished,100
tcp-seed1,25424,1,True,finished,47.26
tcp-seed1,26405,1,True,finished,100
tcp-seed1,27494,1,False,server_died_rc139,
tcp-seed1,27494,2,True,finished,100
tcp-seed1,28198,1,True,finished,100
tcp-seed1,3255,1,True,finished,100
tcp-seed1,3514,1,True,finished,4.6
