dataset,route,variant,seed,attempt,official_status,completion,collisions,segment,kind,subset,count,frame_start,frame_end,low_speed_count,saturated_fraction,limited_fraction,cte_m_n,cte_m_rms,cte_m_p95_abs,cte_m_max_abs,heading_deg_n,heading_deg_rms,heading_deg_p95_abs,heading_deg_max_abs,steer_rate_per_s_n,steer_rate_per_s_rms,steer_rate_per_s_p95_abs,steer_rate_per_s_max_abs,steer_n,steer_rms,steer_p95_abs,steer_max_abs
G2-v4,17563,pi/carla,,1,G2 diagnostic,,,1,S,all,69,4180,4248,0,0.0,0.17391304347826086,69,0.3773099188793318,0.7124124284990324,0.7966147863501138,69,7.894383888897778,15.800518324561388,17.719457953152705,69,1.05417476426023,2.0,2.0,69,0.13900138567074666,0.2340277572905178,0.33028445247046895
G2-v4,17563,pi/carla,,1,G2 diagnostic,,,1,S,moving_ge_2mps,69,4180,4248,0,0.0,0.17391304347826086,69,0.3773099188793318,0.7124124284990324,0.7966147863501138,69,7.894383888897778,15.800518324561388,17.719457953152705,69,1.05417476426023,2.0,2.0,69,0.13900138567074666,0.2340277572905178,0.33028445247046895
G2-v4,17563,pi/carla,,1,G2 diagnostic,,,2,S,all,70,4332,4401,0,0.0,0.12857142857142856,70,0.3458303319470447,0.6654394108538669,0.7727287758359055,70,7.35891829503399,14.498453387251837,16.27748149835215,70,0.9667092837347754,2.0,2.0,70,0.13940448520189555,0.23045497416376373,0.2971863678646178
G2-v4,17563,pi/carla,,1,G2 diagnostic,,,2,S,moving_ge_2mps,70,4332,4401,0,0.0,0.12857142857142856,70,0.3458303319470447,0.6654394108538669,0.7727287758359055,70,7.35891829503399,14.498453387251837,16.27748149835215,70,0.9667092837347754,2.0,2.0,70,0.13940448520189555,0.23045497416376373,0.2971863678646178
G2-v4,17563,pi/pursuit,,1,G2 diagnostic,,,1,S,all,69,4789,4857,0,0.0,0.0,69,0.3680759942886209,0.8222388732950382,0.9738651328235881,69,6.427549745250623,12.525656073277174,13.191313116726937,69,0.2751892852776333,0.5519446416229293,0.6612865046243674,69,0.11879192186835055,0.20867940259159914,0.21664938256406452
G2-v4,17563,pi/pursuit,,1,G2 diagnostic,,,1,S,moving_ge_2mps,69,4789,4857,0,0.0,0.0,69,0.3680759942886209,0.8222388732950382,0.9738651328235881,69,6.427549745250623,12.525656073277174,13.191313116726937,69,0.2751892852776333,0.5519446416229293,0.6612865046243674,69,0.11879192186835055,0.20867940259159914,0.21664938256406452
G2-v4,17563,pi/pursuit,,1,G2 diagnostic,,,2,S,all,70,4941,5010,0,0.0,0.0,70,0.37543113686378093,0.8476839915743647,0.9903789574808043,70,6.285384377173577,12.021208610168559,12.661621513000568,70,0.29561756305006026,0.5772812753097988,0.9928941584313105,70,0.12050795412391835,0.21141189333059582,0.2296165738836037
G2-v4,17563,pi/pursuit,,1,G2 diagnostic,,,2,S,moving_ge_2mps,70,4941,5010,0,0.0,0.0,70,0.37543113686378093,0.8476839915743647,0.9903789574808043,70,6.285384377173577,12.021208610168559,12.661621513000568,70,0.29561756305006026,0.5772812753097988,0.9928941584313105,70,0.12050795412391835,0.21141189333059582,0.2296165738836037
G2-v4,17563,pi-max/pursuit,,1,G2 diagnostic,,,1,S,all,70,5399,5468,0,0.0,0.07142857142857142,70,0.22249354263594107,0.4614324895991321,0.5811105789823279,70,1.704326599738121,3.7755236949629962,5.533002361424977,70,0.8405341761283072,2.0,2.0,70,0.22708966509778755,0.43223043183385285,0.4935598110372199
G2-v4,17563,pi-max/pursuit,,1,G2 diagnostic,,,1,S,moving_ge_2mps,70,5399,5468,0,0.0,0.07142857142857142,70,0.22249354263594107,0.4614324895991321,0.5811105789823279,70,1.704326599738121,3.7755236949629962,5.533002361424977,70,0.8405341761283072,2.0,2.0,70,0.22708966509778755,0.43223043183385285,0.4935598110372199
