dataset,route,variant,seed,attempt,official_status,completion,collisions,segment,kind,core_exited,padded_window_exited,recovery_time_s,recovery_censored,entry_count,post_count,entry_cte_m_n,entry_cte_m_rms,entry_cte_m_p95_abs,entry_cte_m_max_abs,post_cte_m_n,post_cte_m_rms,post_cte_m_p95_abs,post_cte_m_max_abs,post_heading_deg_n,post_heading_deg_rms,post_heading_deg_p95_abs,post_heading_deg_max_abs
G2-v4,17563,pi/carla,,1,G2 diagnostic,,,1,S,True,True,0.4000000059604645,False,17,33,17,0.019080978187956142,0.028964768528243354,0.03191747915346341,33,0.04356208124185864,0.09274710252288254,0.10944909367584248,33,0.8751765092853622,1.7875445799252412,1.9271441893009524
G2-v4,17563,pi/carla,,1,G2 diagnostic,,,2,S,True,True,0.2500000037252903,False,17,33,17,0.02977836703681156,0.04244662639031937,0.04511331181281985,33,0.035161173994357364,0.058213100201400254,0.06954338880258425,33,0.7237312677047794,1.0914285767582657,1.2335141209015614
G2-v4,17563,pi/pursuit,,1,G2 diagnostic,,,1,S,True,True,0.45000000670552254,False,17,33,17,0.02953333748735773,0.04850166783021687,0.04902993492439947,33,0.16364316332789647,0.20840428831357521,0.20859146116232194,33,1.3455494970165636,1.8558432585783746,1.8754733327045157
G2-v4,17563,pi/pursuit,,1,G2 diagnostic,,,2,S,True,True,0.45000000670552254,False,16,34,16,0.04921858966134073,0.06379190819536597,0.06560597098699172,34,0.18363051663640476,0.22438077963893047,0.22553324055030885,34,0.8746304662090535,1.1193933789791823,1.2537046075517826
G2-v4,17563,pi-max/pursuit,,1,G2 diagnostic,,,1,S,True,True,0.05000000074505806,False,17,33,17,0.035091797004431546,0.055703853086853626,0.05871722323251092,33,0.06817896279386579,0.1234534205674709,0.13170578807211206,33,1.1724092595358373,1.4035932050991708,1.4232659452489662
G2-v4,17563,pi-max/pursuit,,1,G2 diagnostic,,,2,S,True,True,0.7000000104308128,False,17,34,17,0.01732880436448808,0.033304653867927386,0.03817822168204641,34,0.09555457349321934,0.19296977900810314,0.21839428721092416,34,1.4021035189592137,2.8852976936381514,2.9975008281368023
G2-v4,24240,pi/carla,,1,G2 diagnostic,,,1,left,True,True,0.30000000447034836,False,13,25,13,0.10685304209177497,0.11062542465430637,0.11066800632460969,25,0.16343926806269535,0.19349000659083668,0.20374370667667616,25,0.6618618834228959,1.1460500152418733,1.159432594998804
G2-v4,24240,pi/pursuit,,1,G2 diagnostic,,,1,left,True,True,0.0,False,13,25,13,0.12331251883610753,0.12407494350778844,0.12411206973553811,25,0.12144715923774588,0.1412795633336749,0.1421798371380924,25,0.5080730203064889,0.9740178252284291,1.002684112633559
G2-v4,24240,pi-max/pursuit,,1,G2 diagnostic,,,1,left,True,True,0.0,False,13,25,13,0.11810730326997483,0.12186594297940162,0.12305784202584365,25,0.11050382454534083,0.13255506526267022,0.13314717000726733,25,0.7501815228198885,1.4481280672658805,1.483321695276364
G2-v4,25854,pi/carla,,1,G2 diagnostic,,,1,right,True,True,0.0,False,0,25,0,,,,25,0.032297388580918136,0.05809707377960301,0.058219456646153404,25,0.5694898906945488,0.8181487826864627,0.8336324738638289
