frame,timestamp,raw_speed_mps,desired,native_throttle,native_brake,old_reason,new_reason,old_native_throttle,old_native_brake,new_native_throttle,new_native_brake,old_pi_throttle,old_pi_brake,new_pi_throttle,new_pi_brake
3117,0.10000000149011612,4.1131719366258744e-05,6.040417432785034,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3118,0.15000000223517418,5.827970679967302e-05,6.104085842768351,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3119,0.20000000298023224,6.957114809025663e-05,5.898125489552816,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3120,0.2500000037252903,5.134000932842377e-05,6.616607983907064,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3121,0.30000000447034836,2.9485600697717818e-05,6.072191556294759,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3122,0.3500000052154064,2.2313945457140845e-05,6.51114018758138,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3123,0.4000000059604645,3.538704939501742e-05,6.100619633992514,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3124,0.45000000670552254,2.3380719934399042e-05,6.7249674797058105,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3125,0.5000000074505806,-1.247742521989626e-05,6.305505593617757,0.75,0.0,reverse_motion,tracking,0.0,1.0,0.75,0.0,0.0,1.0,0.75,0.0
3126,0.5500000081956387,1.550565948690294e-05,6.715924421946207,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3127,0.6000000089406967,2.163038048572211e-05,6.317615667978922,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3128,0.6500000096857548,2.63228338570869e-05,6.514114061991374,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3129,0.7000000104308128,7.585548900651453e-06,6.707952499389648,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3130,0.7500000111758709,0.18411051802434622,6.639753818511963,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3131,0.800000011920929,0.5868475216044806,6.677507559458414,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3132,0.850000012665987,0.8087304647833449,7.304611682891846,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
