level,route,seed,arm,ds,rc,official_status,ticks,pre_collision_ticks,moving_ticks,collision_step,moving_full_throttle_share,moving_full_brake_share,moving_full_pedal_share,full_pedal_flip_count,full_pedal_flips_per_min,speed_p95_mps,speed_max_mps,target_overshoot_gt2_share,target_undershoot_gt2_share,moving_target_zero_share,moving_target_zero_full_brake_share,target_jump_gt5_count,target_jump_gt5_per_min,stopped_after_2s_share,longest_standstill_after_2s_s,agent_ms_p95,vehicle_collisions,emergency_yield,outside_lane
1,2091,0,A,60.0,100.0,Completed,383,272,113,273,0.49557522123893805,0.37168141592920356,0.8672566371681416,26,114.70588235294117,6.80019811386277,7.760901514597522,0.23893805309734514,0.061946902654867256,0.20353982300884957,1.0,3,13.235294117647058,0.3948497854077253,2.1,123.44095844982803,1,0,0
1,2091,0,B,60.0,100.0,Completed,747,360,125,361,0.304,0.312,0.616,49,163.33333333333334,6.503938494254142,7.690245854984158,0.08,0.152,0.08,1.0,1,3.3333333333333335,0.24299065420560748,1.2000000000000002,126.79886000114493,1,0,0
1,2091,0,C,26.604,44.34,Failed - TickRuntime,4000,1876,111,1877,0.0,0.0,0.0,0,0.0,2.5803804519985465,6.717638136174257,0.3153153153153153,0.05405405405405406,0.2972972972972973,0.0,2,1.2793176972281448,0.884594447468699,27.85,145.9478275010042,1,0,0
1,2091,0,D,28.374,47.29,Failed - TickRuntime,4000,471,118,472,0.0,0.0,0.0,0,0.0,5.079625861279133,6.725830337956791,0.3135593220338983,0.06779661016949153,0.288135593220339,0.0,1,2.5477707006369426,0.5717592592592593,10.25,126.99546899602865,1,0,0
1,2091,1,A,60.0,100.0,Completed,3914,421,128,422,0.4609375,0.4140625,0.875,20,57.00712589073634,7.0442449018793685,8.333294972674087,0.3203125,0.1484375,0.2890625,1.0,4,11.401425178147269,0.6204188481675392,6.8500000000000005,126.2172990009276,1,0,0
1,2091,1,B,60.0,100.0,Completed,507,372,106,373,0.330188679245283,0.1320754716981132,0.46226415094339623,47,151.61290322580646,6.111395725275248,6.857845248059623,0.0,0.04716981132075472,0.0,,0,0.0,0.3123123123123123,1.75,125.07739690063318,1,0,0
1,2091,1,C,28.374,47.29,Failed - TickRuntime,4000,1321,128,1322,0.0,0.0,0.0,0,0.0,4.735878658384971,6.654926666844256,0.21875,0.1953125,0.203125,0.0,1,0.9084027252081757,0.8361934477379095,27.35,141.2688039999921,1,0,0
1,2091,1,D,60.0,100.0,Completed,1535,1179,137,1180,0.0,0.0,0.0,0,0.0,4.827566095120819,6.738406514009395,0.35036496350364965,0.1386861313868613,0.34306569343065696,0.0,2,2.035623409669211,0.8008771929824562,45.6,139.13965060492046,1,0,0
1,2091,2,A,100.0,100.0,Completed,393,392,229,,0.5502183406113537,0.33624454148471616,0.8864628820960698,34,104.0816326530612,8.937592737074302,10.527147234068517,0.27074235807860264,0.13100436681222707,0.2314410480349345,1.0,11,33.6734693877551,0.311614730878187,4.45,119.40818455059342,0,0,0
1,2091,2,B,23.94,39.9,Failed - TickRuntime,4000,368,116,369,0.22413793103448276,0.1724137931034483,0.39655172413793105,41,133.69565217391303,5.9740146126221205,6.991047714704105,0.07758620689655173,0.11206896551724138,0.0603448275862069,1.0,0,0.0,0.23404255319148937,1.1500000000000001,121.3702856497548,1,0,0
