level,route,seed,arm,window_kind,prediction,first_wrong_step,first_wrong_s,endpoint_correct_dense_m,endpoint_wrong_straight_m
2,2084,0,C,pre_official_end,route,428,21.450000319629908,7.558558018368019,5.1138998294150495
2,2084,0,C,pre_official_end,waypoint,430,21.550000321120024,9.472987769854472,4.779096350521948
2,2084,0,D,pre_official_end,route,432,21.65000032261014,8.504184904109632,4.163308324591884
2,2084,0,D,pre_official_end,waypoint,433,21.700000323355198,10.50935139938562,3.453815855606074
2,2084,1,C,pre_official_end,route,3336,166.85000248625875,19.932814850801712,3.4883653678425444
2,2084,1,C,pre_official_end,waypoint,3336,166.85000248625875,12.529675462532461,2.705075627145124
2,2084,1,D,pre_official_end,route,438,21.950000327080488,7.533596163352737,4.909179762183774
2,2084,1,D,pre_official_end,waypoint,439,22.000000327825546,8.237754297092932,5.406531590317385
2,2084,2,C,pre_official_end,route,385,19.30000028759241,6.936860447077905,4.565590215294451
2,2084,2,C,pre_official_end,waypoint,385,19.30000028759241,6.302757690243726,4.1917220253843235
2,2084,2,D,pre_official_end,route,391,19.60000029206276,8.149103031152597,3.548333827328636
2,2084,2,D,pre_official_end,waypoint,391,19.60000029206276,5.934335886338744,3.054910063271856
2,27529,0,C,pre_official_end,route,394,19.750000294297934,8.065434403702486,5.38158060493855
2,27529,0,C,pre_official_end,waypoint,396,19.85000029578805,8.634063089211871,5.893723163980939
2,27529,0,D,approach,route,383,19.200000286102295,8.225265510981192,5.993223381805339
2,27529,0,D,approach,waypoint,385,19.30000028759241,8.575758262138208,5.097078556064301
2,27529,0,D,pre_official_end,route,383,19.200000286102295,8.225265510981192,5.993223381805339
2,27529,0,D,pre_official_end,waypoint,385,19.30000028759241,8.575758262138208,5.097078556064301
2,27529,1,C,approach,route,379,19.000000283122063,8.866564881394932,5.774201403479542
2,27529,1,C,approach,waypoint,381,19.10000028461218,8.798052663144354,6.21827434245565
2,27529,1,C,pre_official_end,route,379,19.000000283122063,8.866564881394932,5.774201403479542
2,27529,1,C,pre_official_end,waypoint,381,19.10000028461218,8.798052663144354,6.21827434245565
2,27529,1,D,approach,route,373,18.700000278651714,9.013299130988742,4.974924757168646
2,27529,1,D,approach,waypoint,374,18.750000279396772,8.606190745022325,5.419987073563006
2,27529,1,D,pre_official_end,route,373,18.700000278651714,9.013299130988742,4.974924757168646
2,27529,1,D,pre_official_end,waypoint,374,18.750000279396772,8.606190745022325,5.419987073563006
2,27529,2,C,pre_official_end,route,426,21.35000031813979,7.534118266623772,5.198107523251107
2,27529,2,C,pre_official_end,waypoint,427,21.40000031888485,9.14695194179264,4.127397693137802
2,27529,2,D,pre_official_end,route,451,22.600000336766243,9.406980643930734,4.6551950101649515
2,27529,2,D,pre_official_end,waypoint,451,22.600000336766243,9.301928615398069,4.732158915821701
