phase,level,route,seed,arm,official_status,ds,rc,ticks,nav_ticks,first_motion_step,first_target_postturn_step,distance_to_bend_at_target_jump_m,first_dense_wrong_plan_step,first_ego_offroute_3m_step,max_ego_dense_distance_m,red_light_ticks,red_signal_ticks,near_actor_10m_ticks,c_stop_hold_ticks,postprocessor_changed_ticks,post_longitudinal_changed_ticks
factorial,1,2091,0,B,Completed,100.0,100,442,442,13,,,,,0.7302806877089651,0,302,132,7,6,6
factorial,1,2091,0,C,Failed - TickRuntime,25.716,42.86,4000,4000,23,,,,,0.7194821715474004,0,3882,3633,3404,1344,1344
factorial,1,2091,0,E,Completed,100.0,100,543,543,13,,,,,1.0199892407359221,0,406,173,67,27,27
factorial,1,2091,0,F,Failed - TickRuntime,25.716,42.86,4000,4000,23,,,,,0.4749365589770698,0,3881,3457,3120,1026,1026
factorial,1,2091,1,B,Failed - TickRuntime,23.94,39.9,4000,4000,13,,,,,0.7994489522483397,0,3864,3715,40,141,141
factorial,1,2091,1,C,Completed,60.0,100,556,556,23,,,,,1.7976907038520167,0,438,166,74,1,1
factorial,1,2091,1,E,Completed,100.0,100,493,493,13,,,,,0.5481192466929764,0,350,151,36,10,10
factorial,1,2091,1,F,Failed - TickRuntime,25.716,42.86,4000,4000,23,,,,,0.24946499277362544,0,3879,3177,2849,581,581
factorial,1,2091,2,B,Completed,100.0,100,437,437,13,,,,,0.6930299854692656,0,313,134,37,4,4
factorial,1,2091,2,C,Failed - TickRuntime,25.716,42.86,4000,4000,23,,,,,1.299245167795585,0,3882,3635,2343,261,261
factorial,1,2091,2,E,Completed,100.0,100,446,446,13,,,,,0.5075181513732502,0,306,141,32,1,1
factorial,1,2091,2,F,Failed - TickRuntime,26.604,44.34,4000,4000,23,,,,,0.45897033526924425,0,3879,3179,1604,63,63
factorial,2,2084,0,B,Completed,100.0,100,538,538,13,353,7.975225705544846,,,1.4689024173588778,0,346,189,19,9,9
factorial,2,2084,0,C,Failed - Agent deviated from the route,50.76,50.76,411,411,21,128,7.981773464001237,322,319,30.1965235619029,0,253,33,30,5,5
factorial,2,2084,0,E,Failed - Agent deviated from the route,50.76,50.76,636,636,13,330,7.991228182169314,538,537,30.138853093217335,0,441,172,34,7,7
factorial,2,2084,0,F,Failed - Agent got blocked,22.829773,67.2,3291,3291,21,129,8.042481002358294,,,2.4134535308748535,0,1503,2810,73,192,192
factorial,2,2084,1,B,Completed,60.0,100,2955,2955,13,239,8.093264605721581,,,2.071641739381142,0,2771,2507,130,63,63
factorial,2,2084,1,C,Failed - Agent deviated from the route,50.76,50.76,471,471,21,129,7.998955018555788,384,387,30.15398531523696,0,196,66,62,8,8
factorial,2,2084,1,E,Failed - Agent deviated from the route,50.76,50.76,554,554,13,329,7.981695427260959,458,456,30.228699763132106,0,368,147,34,40,40
factorial,2,2084,1,F,Completed,100.0,100,508,508,21,128,8.029176007295733,,,1.5649356653649855,0,196,108,74,10,10
factorial,2,2084,2,B,Completed,100.0,100,531,531,13,350,7.97181037123714,,,1.3919457889163906,0,334,184,21,8,8
factorial,2,2084,2,C,Failed - Agent deviated from the route,50.76,50.76,517,517,21,128,8.033498920436328,433,435,30.04219398496481,0,328,64,71,45,45
factorial,2,2084,2,E,Failed - TickRuntime,29.478,49.13,4000,4000,13,277,7.999687435518666,,,1.0380507140138395,0,3808,3681,534,931,931
factorial,2,2084,2,F,Completed,4.928288,100,2398,2398,21,129,8.010886891709097,,472,5.933641616969212,0,2209,1932,83,46,46
factorial,2,27529,0,B,Completed,100.0,100,546,546,13,355,5.028080795815701,,,0.6451492576187119,0,151,26,118,5,5
factorial,2,27529,0,C,Failed - Agent deviated from the route,24.0096,50.02,465,465,26,312,4.996497190258058,383,374,30.257753221083558,0,120,119,64,8,8
factorial,2,27529,0,E,Failed - Agent deviated from the route,25.23,42.05,699,699,13,370,5.0380496275227955,521,601,29.711286128209817,0,361,86,138,48,48
factorial,2,27529,0,F,Completed,30.85473,100,1213,1213,26,324,4.909074641459891,,,2.5947262669262336,0,220,831,118,46,46
factorial,2,27529,1,B,Completed,100.0,100,564,564,13,361,4.998231351418335,,,0.9485430856025056,0,160,31,135,6,6
factorial,2,27529,1,C,Failed - Agent deviated from the route,50.02,50.02,522,522,26,312,4.991302860520404,431,428,30.076436098307305,0,169,116,104,46,46
factorial,2,27529,1,E,Completed,100.0,100,559,559,13,360,4.995082069811425,,,1.2786926516941877,0,167,25,117,6,6
factorial,2,27529,1,F,Completed,100.0,100,508,508,26,319,4.913782855099073,,,1.178176391939597,0,103,107,119,6,6
factorial,2,27529,2,B,Completed,100.0,100,673,673,13,463,4.996239775610687,,,0.9063516244739848,0,270,24,137,6,6
factorial,2,27529,2,C,Failed - TickRuntime,30.693811,55.69,4000,4000,26,319,4.8359968212070195,,441,4.459935237797297,0,3686,3644,113,0,0
factorial,2,27529,2,E,Completed,100.0,100,677,677,13,484,4.9519696562588065,,,1.735456007925246,0,276,23,119,6,6
factorial,2,27529,2,F,Completed,100.0,100,1263,1263,26,319,4.934544816815689,,,0.8241120438381785,0,224,745,690,48,48
