level,route,seed,deviation_arm,official_status,anchor_step,deviation_step,role,step,sim_time_s,ego_x,ego_y,ego_speed_mps,ego_dense_distance_m,rc_dense_index,target_dense_index,target_dense_distance_m,target_world_xy,selected_target_world_xy,kalman_world_xy,gps_world_xy,kalman_gps_delta_m,selected_pop_distance_m,command_1based,next_command_1based,steer,route_endpoint_world_xy,waypoint_endpoint_world_xy,route_endpoint_correct_dense_m,route_endpoint_wrong_straight_m,waypoint_endpoint_correct_dense_m,waypoint_endpoint_wrong_straight_m,light_state,nearest_actor_json
2,2084,0,C,Failed - Agent deviated from the route,319,119,deviation,119,6.000000089406967,-1392.8153076171875,5323.173828125,3.3838373096457124,0.0163022202005343,23,30,3.2650867710557867e-10,"[-1386.6037597657808, 5323.1518554684235]","[-1386.6037597657808, 5323.1518554684235]","[-1392.811549002124, 5323.20431713545]","[-1392.3562011769134, 5322.788019926478]",0.6169643491495547,5.0,4,1,-0.015165913850069046,"[-1381.3521251943764, 5322.7001972003145]","[-1391.5488549118181, 5323.183401724826]",0.031203145378669996,0.4472200032489464,7.945167842358771,7.945167842358771,Red,"[{""id"": 3542, ""type"": ""traffic.speed_limit.30"", ""relative_xy_m"": [-7.522141671572072, -5.4916679864319695], ""relative_velocity_xy_mps"": [-3.3838373096457124, -0.008905452016231954], ""distance_m"": 9.31348659742434}]"
2,2084,0,C,Failed - Agent deviated from the route,319,119,B_same_time,119,6.000000089406967,-1395.2608642578125,5323.15869140625,2.3844660055023934,0.0007344480828233308,20,30,3.2650867710557867e-10,"[-1386.6037597657808, 5323.1518554684235]","[-1386.6037597657808, 5323.1518554684235]","[-1395.1938293952203, 5323.193223454505]","[-1394.8017578174913, 5322.772883208261]",0.5748095725324825,5.0,4,1,5.346933176042512e-05,"[-1383.7504550555363, 5323.132649525649]","[-1391.9776606940097, 5323.159527257198]",0.1476501194649188,0.1476501194649188,8.37390703525598,8.37390703525598,Green,"[{""id"": 3542, ""type"": ""traffic.speed_limit.30"", ""relative_xy_m"": [-5.01163812095833, -5.563624300028716], ""relative_velocity_xy_mps"": [-2.3844660055023934, -0.00015770885465999436], ""distance_m"": 7.488019231232835}]"
2,2084,0,C,Failed - Agent deviated from the route,319,119,B_same_progress,214,10.750000160187483,-1392.9742431640625,5323.15869140625,0.7474945975455881,0.001010298247535413,23,30,3.2650867710557867e-10,"[-1386.6037597657808, 5323.1518554684235]","[-1386.6037597657808, 5323.1518554684235]","[-1392.903063825284, 5323.248112989816]","[-1392.188235891556, 5323.659983917253]",0.8249949307153621,5.0,4,1,-0.0004383889609016478,"[-1381.5088175391702, 5322.751457279655]","[-1391.7913816537198, 5323.159390080365]",0.028281678316357223,0.39609889415554367,8.187627965616244,8.187627965616244,Green,"[{""id"": 3721, ""type"": ""vehicle.lincoln.mkz_2020"", ""relative_xy_m"": [2.131393701049133, -2.7564071988585686], ""relative_velocity_xy_mps"": [-10.73042707590053, 0.022498638781904307], ""distance_m"": 3.4843392135082456}]"
2,2084,0,C,Failed - Agent deviated from the route,319,120,deviation,120,6.050000090152025,-1392.6492919921875,5323.1748046875,3.2819715605815665,0.017440906791354523,23,30,3.2650867710557867e-10,"[-1386.6037597657808, 5323.1518554684235]","[-1386.6037597657808, 5323.1518554684235]","[-1392.647088861397, 5323.20866100285]","[-1392.6126346159372, 5323.4345104799]",0.22846242867071673,5.0,4,1,-0.01437308732420206,"[-1381.195484052, 5322.693320319865]","[-1391.5006771613037, 5323.183442835378]",0.008281587506795848,0.4539579763069092,7.896990712388848,7.896990712388848,Red,"[{""id"": 3542, ""type"": ""traffic.speed_limit.30"", ""relative_xy_m"": [-7.685007094131925, -5.495158730989215], ""relative_velocity_xy_mps"": [-3.2819715605815665, 0.016477592002599364], ""distance_m"": 9.447544840625262}]"
2,2084,0,C,Failed - Agent deviated from the route,319,120,B_same_time,120,6.050000090152025,-1395.1446533203125,5323.15869140625,2.2782786713404377,0.0006209608932858831,20,30,3.2650867710557867e-10,"[-1386.6037597657808, 5323.1518554684235]","[-1386.6037597657808, 5323.1518554684235]","[-1395.0681729542987, 5323.196556590617]","[-1395.1079959440144, 5323.418397200559]",0.2253866161281125,5.0,4,1,5.384235191741027e-05,"[-1383.6394568198286, 5323.11789907856]","[-1391.9682207814008, 5323.158707103787]",0.047617999659206926,0.047617999659206926,8.364466178128094,8.364466178128094,Green,"[{""id"": 3542, ""type"": ""traffic.speed_limit.30"", ""relative_xy_m"": [-5.127857942775292, -5.56365349228582], ""relative_velocity_xy_mps"": [-2.2782786713404377, -0.00010820497719572981], ""distance_m"": 7.56631794623434}]"
2,2084,0,C,Failed - Agent deviated from the route,319,120,B_same_progress,214,10.750000160187483,-1392.9742431640625,5323.15869140625,0.7474945975455881,0.001010298247535413,23,30,3.2650867710557867e-10,"[-1386.6037597657808, 5323.1518554684235]","[-1386.6037597657808, 5323.1518554684235]","[-1392.903063825284, 5323.248112989816]","[-1392.188235891556, 5323.659983917253]",0.8249949307153621,5.0,4,1,-0.0004383889609016478,"[-1381.5088175391702, 5322.751457279655]","[-1391.7913816537198, 5323.159390080365]",0.028281678316357223,0.39609889415554367,8.187627965616244,8.187627965616244,Green,"[{""id"": 3721, ""type"": ""vehicle.lincoln.mkz_2020"", ""relative_xy_m"": [2.131393701049133, -2.7564071988585686], ""relative_velocity_xy_mps"": [-10.73042707590053, 0.022498638781904307], ""distance_m"": 3.4843392135082456}]"
2,2084,0,C,Failed - Agent deviated from the route,319,121,deviation,121,6.100000090897083,-1392.4891357421875,5323.17529296875,3.156117382696093,0.018085590321835494,23,30,3.2650867710557867e-10,"[-1386.6037597657808, 5323.1518554684235]","[-1386.6037597657808, 5323.1518554684235]","[-1392.4745372435782, 5323.213149039681]","[-1392.3132951143748, 5323.453022840666]",0.28903021404115187,5.0,4,1,0.016989124938845634,"[-1381.0478389794464, 5322.589967098845]","[-1391.4573221612125, 5323.189219163572]",0.02819504863733706,0.5571802294478302,7.853663269293938,7.853663269293938,Red,"[{""id"": 154, ""type"": ""traffic.stop"", ""relative_xy_m"": [8.607800285782234, 3.6458564718135453], ""relative_velocity_xy_mps"": [-3.156117382696093, 0.02164025651997846], ""distance_m"": 9.348074409897338}]"
2,2084,0,C,Failed - Agent deviated from the route,319,121,B_same_time,121,6.100000090897083,-1395.035400390625,5323.15869140625,2.1324523206280994,0.0005142686301266662,20,30,3.2650867710557867e-10,"[-1386.6037597657808, 5323.1518554684235]","[-1386.6037597657808, 5323.1518554684235]","[-1394.9478640833026, 5323.200105695381]","[-1394.8595597627634, 5323.436421281481]",0.2522750666621717,5.0,4,1,4.6499870222760364e-05,"[-1383.5249951846197, 5323.120053985955]","[-1391.9943029809392, 5323.158971678729]",0.022377374705385134,0.029290218922469736,8.390548658823409,8.390548658823409,Green,"[{""id"": 3542, ""type"": ""traffic.speed_limit.30"", ""relative_xy_m"": [-5.237110867046, -5.563688465281205], ""relative_velocity_xy_mps"": [-2.1324523206280994, -0.00011919834228595603], ""distance_m"": 7.640808829727022}]"
2,2084,0,C,Failed - Agent deviated from the route,319,121,B_same_progress,214,10.750000160187483,-1392.9742431640625,5323.15869140625,0.7474945975455881,0.001010298247535413,23,30,3.2650867710557867e-10,"[-1386.6037597657808, 5323.1518554684235]","[-1386.6037597657808, 5323.1518554684235]","[-1392.903063825284, 5323.248112989816]","[-1392.188235891556, 5323.659983917253]",0.8249949307153621,5.0,4,1,-0.0004383889609016478,"[-1381.5088175391702, 5322.751457279655]","[-1391.7913816537198, 5323.159390080365]",0.028281678316357223,0.39609889415554367,8.187627965616244,8.187627965616244,Green,"[{""id"": 3721, ""type"": ""vehicle.lincoln.mkz_2020"", ""relative_xy_m"": [2.131393701049133, -2.7564071988585686], ""relative_velocity_xy_mps"": [-10.73042707590053, 0.022498638781904307], ""distance_m"": 3.4843392135082456}]"
2,2084,0,C,Failed - Agent deviated from the route,319,122,deviation,122,6.150000091642141,-1392.3355712890625,5323.17724609375,3.023067678277694,0.020188679605484875,23,30,3.2650867710557867e-10,"[-1386.6037597657808, 5323.1518554684235]","[-1386.6037597657808, 5323.1518554684235]","[-1392.3025111860566, 5323.211320395796]","[-1391.7354960241476, 5322.91565864814]",0.6394701422752415,5.0,4,1,0.043109163641929626,"[-1380.9127284255342, 5322.50787265957]","[-1391.4163024864013, 5323.194053671865]",0.03352091111971368,0.6391548244391395,7.812670251500343,7.812670251500343,Red,"[{""id"": 154, ""type"": ""traffic.stop"", ""relative_xy_m"": [8.45534196788557, 3.6428397747532384], ""relative_velocity_xy_mps"": [-3.023067678277694, -0.01720144305386284], ""distance_m"": 9.206687211935206}]"
