level,route,contrast,n,mean_ds_diff,mean_points_rc,mean_points_collisions_pedestrian,mean_points_collisions_vehicle,mean_points_collisions_layout,mean_points_red_light,mean_points_stop_infraction,mean_points_scenario_timeouts,mean_points_yield_emergency_vehicle_infractions,mean_points_outside_route_lanes,mean_points_min_speed_infractions,mean_points_route_dev,mean_points_vehicle_blocked,mean_points_route_timeout,mean_points_rounding
1,17569,A-B,3,26.666666666666668,0.0,0.0,26.666666666666618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.636564173123773e-14
1,17569,C-B,3,13.333333333333334,0.0,0.0,13.333333333333309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3182820865618866e-14
1,2091,A-B,3,25.353333333333335,16.294186866277496,0.0,9.05914646705584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2091,C-B,3,15.993333333333334,6.934186866277482,0.0,9.05914646705584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3172547470756019e-14
1,25378,A-B,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25378,C-B,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25381,A-B,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25381,C-B,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25424,A-B,3,-1.2571440000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2566573762914584,0.0,0.0,0.0,0.0,-0.0004866237085430286
1,25424,C-B,3,-5.657152999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.656602350236864,0.0,0.0,0.0,0.0,-0.0005506497631338156
1,26405,A-B,3,82.16948566666666,11.213626867648928,0.0,65.19987196811506,0.0,0.0,0.0,0.0,0.0,5.754706335308952,0.0,0.0,0.0,0.0,0.0012804955937211978
1,26405,C-B,3,82.16948566666666,11.213626867648928,0.0,65.19987196811506,0.0,0.0,0.0,0.0,0.0,5.754706335308952,0.0,0.0,0.0,0.0,0.0012804955937211978
1,27494,A-B,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,27494,C-B,3,-13.333333333333334,0.0,0.0,-13.333333333333309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3182820865618866e-14
1,28198,A-B,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,28198,C-B,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3255,A-B,3,33.333333333333336,0.0,33.33333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1356176692099435e-14
1,3255,C-B,3,-4.53094033333333,0.0,22.72313475884864,-17.026289795959233,0.0,0.0,0.0,0.0,0.0,-10.224477983893646,0.0,0.0,0.0,0.0,-0.003307312329090243
