executed_arm,phase,axis,speed_bin,intent,n,mean,median,p10,p90
B,near_reset,long,all,all,92,-1.2948835022306104,-1.6287160105815945,-2.1217652019994215,0.382434058732991
B,near_reset,steer,all,all,92,0.13148064778463647,0.0030906799107112567,-0.011320602503527698,0.508555331963357
B,near_reset,long,0.5-3,cruise,64,-1.0584898847583486,-1.5093962839367014,-2.055860265276102,0.5349426506315759
B,near_reset,steer,0.5-3,cruise,64,0.01142659349297867,0.000508916068279544,-0.018484027986851753,0.05777648766917451
B,near_reset,long,0.5-3,turn,28,-1.835211770738637,-1.8874573310605185,-2.221723939399585,-1.4349362134933472
B,near_reset,steer,0.5-3,turn,28,0.40588991473699715,0.3056945771159137,0.03623897510385007,0.9144195364536726
B,far_from_reset,long,all,all,16215,-0.1766796739158477,0.042589083683657436,-1.8353226575820931,0.9891821319286563
B,far_from_reset,steer,all,all,16215,0.0002472289091987414,0.000160442418573233,-0.03161306123864557,0.034505313521690326
B,far_from_reset,long,0.5-3,cruise,2441,-0.26697842916571046,-1.4901161138336505e-09,-1.8980049833906218,1.75
B,far_from_reset,steer,0.5-3,cruise,2441,-0.009745383149462104,0.0003687330226713596,-0.03362614077893498,0.054107593184980485
B,far_from_reset,long,0.5-3,turn,240,-0.9814479987984861,-1.450857162475586,-1.9628680691304008,0.397664600610733
B,far_from_reset,steer,0.5-3,turn,240,0.023909013811280706,0.010994462876267368,-0.1912047909152179,0.1940671235161306
B,far_from_reset,long,3-8,cruise,10566,-0.1074416490516656,0.10232943296432495,-1.599685221008141,0.733823460575262
B,far_from_reset,steer,3-8,cruise,10566,-0.00042142356691781156,0.00013875583095200486,-0.018755814010862494,0.01821838564173326
B,far_from_reset,long,3-8,turn,803,-0.8205590178597245,-1.2020102116798628,-2.04510408428567,1.0067554967505097
B,far_from_reset,steer,3-8,turn,803,0.02844627722752545,0.01985904737673952,-0.14532007789863743,0.22013984165622627
B,far_from_reset,long,>=8,cruise,1974,-0.06908170549519718,-0.005773748910469306,-1.2782529657562938,0.8914980724881986
B,far_from_reset,steer,>=8,cruise,1974,0.0009309628349000818,0.0001083412933644932,-0.04146083431223563,0.02457161243571865
B,far_from_reset,long,0.5-3,decelerate,2,-1.974759401683762,-1.974759401683762,-4.877751791835776,0.9282329884682519
B,far_from_reset,steer,0.5-3,decelerate,2,0.22246159351967987,0.22246159351967987,0.08759745307187879,0.35732573396748096
B,far_from_reset,long,3-8,decelerate,12,0.6848201752346332,0.8330107362627874,0.605623805130405,0.9855366916855487
B,far_from_reset,steer,3-8,decelerate,12,0.001094669422363884,-0.004911456508858094,-0.034031468411200055,-0.00022296901346410784
B,far_from_reset,long,>=8,turn,177,-0.2902979020960763,-0.07634263408141734,-2.0202561028158206,1.3238839602414605
B,far_from_reset,steer,>=8,turn,177,0.0077613257284598475,0.017066794406692037,-0.15175065909144894,0.12149650457625262
