level,route,seed,arm,context,lag_s,first_error_mps_n,first_error_mps_mean,first_error_mps_median,first_error_mps_p10,first_error_mps_p90,mean8_error_mps_n,mean8_error_mps_mean,mean8_error_mps_median,mean8_error_mps_p10,mean8_error_mps_p90,target_error_mps_n,target_error_mps_mean,target_error_mps_median,target_error_mps_p10,target_error_mps_p90
1,2091,0,D,all,0.1,338,0.3248826720204019,0.20993670739101233,-0.3022715273964089,1.150591265920488,338,0.8772079980700879,0.1893213807485492,-2.2482685256779,4.679123341096828,338,-0.03603503419491291,0.11966758005242095,-3.3943923424144877,1.5710176488494738
1,2091,0,D,launch,nan,22,0.5949429980966134,0.5663097819371333,0.48535438862281344,0.7400505816836845,22,4.654203203353052,4.657540426399489,4.592296114973139,4.819721099025775,22,1.3971864068481166,1.3827173378094415,1.35153088172348,1.4684277870323366
1,2091,0,D,target_stop,nan,73,0.015436477293237468,-0.14785381514412888,-0.9413459613284157,1.4816369452676752,73,-0.2933704751975638,-0.568204440383117,-2.9175880750474184,3.8255140513698973,73,-3.4343269412001547,-3.106592096190234,-7.729290886832672,-0.3176393454265821
1,2091,0,D,decelerate,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan
1,2091,0,D,turn,nan,58,0.8750813255561481,0.763339035122883,0.4910078113118971,1.2240760979759624,58,2.7559849277607484,2.3197524341479463,0.7091944302602128,4.907614578850656,58,2.117105851967173,1.5051180552552959,0.6236333908402426,4.289667059764016
1,2091,0,D,cruise,nan,185,0.24237847275733737,0.007959834435439461,-0.1590372154471867,1.026819914874691,185,0.30093379326065595,0.02971270871448084,-2.0059785382789546,3.292114263912571,185,0.45943667451338466,0.1077406204616258,-0.01944363688691588,1.4581219388357107
1,2091,1,D,all,0.1,365,0.33785996790317807,0.20419449100740739,-0.3399629783177126,1.1826270085237818,365,1.2546178913324533,0.47630053091486285,-2.072055164107106,4.849212214147829,365,0.5104755976077149,0.21352534357805708,-2.4581325758848,2.3909268686457215
1,2091,1,D,launch,nan,24,0.5965515853403721,0.5521679148068963,0.48839892935102097,0.740417383225486,24,4.520591737721802,4.658895740673613,4.462103009873734,4.8117965565527605,24,1.327321859704221,1.3827745069325246,1.3235937806961284,1.4684778497116586
1,2091,1,D,target_stop,nan,75,-0.24902483485741816,-0.13984477103053117,-0.9725140316888509,0.22159385059604364,75,-0.2785057450011317,0.05428786592065166,-3.0409163277921807,1.6520736778569267,75,-1.8861433695943883,-0.6808427892798826,-4.7762976427690225,-0.13905674539939838
1,2091,1,D,decelerate,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan
1,2091,1,D,turn,nan,69,0.859576740902383,0.9517625799982989,0.3173051049810177,1.3133163331172277,69,3.3276521953967766,4.453826361526482,-1.0398276685108088,5.47387265515888,69,2.5695487464263946,1.7015757497761559,0.13096665468539923,6.004603127243975
1,2091,1,D,cruise,nan,197,0.3470442524291014,0.08630330812296094,-0.19068807794456574,1.1679532391665652,197,0.7143211067194393,0.08806905711980484,-1.8221743288752397,4.242414444807983,197,0.6021815112186425,0.1855888999332791,-0.002468117686488948,1.479344449472623
1,2091,0,A,all,0.1,382,0.16502368636455142,0.11737577420825097,-0.5559687271905978,0.9282251120552011,382,0.7171814055019011,0.3478297658154359,-2.3336385699812188,4.623050337804009,382,-0.2405770889204001,0.2531226278420293,-3.1705374563655715,1.4837715278005463
1,2091,0,A,launch,nan,38,0.45891362888812626,0.5575743455726447,0.11981402893989553,0.741092965022839,38,3.610120002391484,3.726830947849284,1.2063894155881036,5.085736505781893,38,1.079672755618252,1.3241689036887054,0.4539893449118069,1.4730211761541092
1,2091,0,A,target_stop,nan,112,-0.24926786044030397,0.004151006672855815,-0.9643235517522618,0.09300763523963783,112,-0.0430965586964804,0.09094328682067276,-2.4738575935666596,1.9905540648912938,112,-2.63006885811478,-0.004839437656126645,-9.053300355032311,0.0
1,2091,0,A,decelerate,nan,4,-1.236457660607321,-1.251963532242475,-1.3012109405925851,-1.1592996833139337,4,-3.3964987854057167,-3.585870425785507,-3.6710812092787846,-2.9704190492288154,4,-1.8805883524255858,-1.573239399740035,-4.182591040240363,0.17553517324075107
1,2091,0,A,turn,nan,66,0.7485549410966504,0.8385959157000693,0.1675122405590752,1.2631103965318364,66,2.9255543201997827,3.789378453866252,-1.0696374460638594,5.864277168109396,66,2.102206702609902,1.4932726545353865,1.374860957667794,4.328156745017274
1,2091,0,A,cruise,nan,162,0.1793798468695942,0.1534794411703735,-0.40885793607460574,0.8172393879776956,162,-0.23391999139942696,-0.06322376992327783,-2.3929376597133314,0.8708082012462739,162,0.18775562015566527,0.26656955440884333,-0.16328179977315874,0.8400598154354315
1,2091,2,A,all,0.1,392,0.14597989831307617,0.09554394171071677,-0.5810272442876998,0.9132227449246612,392,0.6285412608044658,0.5278392719316098,-2.0177627635941553,4.0024968506787095,392,-0.41540273656503196,0.11639003636565448,-6.112846487154373,1.5530111048011814
1,2091,2,A,launch,nan,34,0.49471592807001863,0.5650057333709599,0.20013331931623146,0.7462390740865651,34,3.1267002745562515,3.245343542685817,1.1528969993556488,4.808796320147075,34,1.0596199026986586,1.1690227205296173,0.4958582801291834,1.4681828975747018
1,2091,2,A,target_stop,nan,146,-0.2654062859041149,0.00339299157272249,-0.933112312950275,0.08731235770058071,146,-0.020746387084610518,0.6032893999901154,-2.6438250546028295,1.6827222754447464,146,-2.634574426983843,-0.001059035371402636,-8.979629498679692,0.0
1,2091,2,A,decelerate,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan
1,2091,2,A,turn,nan,54,0.7166446769806868,0.7126106457945045,0.18981767339783928,1.2247579949374554,54,2.415347586791595,2.304144792143308,-0.8822140511456724,5.686469533989699,54,2.0507606974787027,1.497872669577598,0.23845327271402839,5.498155076928655
1,2091,2,A,cruise,nan,158,0.2560397706923349,0.23343556314184388,-0.3296865734681441,0.9666278808359313,158,0.08025675777243746,0.050594612295987496,-2.0878749771172216,1.5979111604681178,158,0.47494834968698896,0.4207319158793341,-0.17610174721007554,1.550458232629506
1,3514,1,A,all,0.1,519,0.16277777879533412,0.2308752316621379,-0.70331635293584,0.9057015616066255,519,0.2802356392388104,0.3202168814667381,-1.3224591617957555,1.2630300899615028,519,-1.5114878961240263,0.10763219763606013,-7.653816942659081,0.8290087263972195
1,3514,1,A,launch,nan,9,0.5930004049312577,0.5459841824648971,0.34141331639979616,0.8500399538234947,9,3.6747561090514864,3.7108406798729257,3.04610665216824,4.274512070879684,9,5.893137360593967,6.499987156699898,5.2253918671709325,6.6441943000556005
1,3514,1,A,target_stop,nan,213,-0.2346918878351481,-0.3164453357477912,-0.7417683890827378,0.32426646732845926,213,-0.5689690141521242,-0.8345368441607182,-1.636333917345112,1.1466607338166612,213,-4.976254537106808,-7.194965429955425,-7.949802147485006,0.0
1,3514,1,A,decelerate,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan
1,3514,1,A,turn,nan,11,1.5667917059671155,1.510899669319209,1.1871755849777974,1.9119465141210852,11,4.138333060022835,4.216656430541293,3.840075153771448,4.34485777092782,11,5.2881948462733765,5.31268522964162,4.5156640964923795,6.037668632339592
1,3514,1,A,cruise,nan,286,0.39125638774001875,0.5861207707500311,-0.5449203078103051,0.9337317805598628,286,0.6574763221595471,0.7696379789990249,-0.23308950384865268,1.1984385466872043,286,0.574376289374223,0.5106461410982663,0.011993538602895537,0.8394747507863012
1,2091,1,B,all,0.0,506,0.39520555446401445,0.26371849776119677,-0.0043151994066086274,1.1056710318176757,506,0.8961364404370608,0.3724611830613749,-0.7508192500310872,3.6002681908515815,506,0.636938774407253,0.5497563240333676,-0.09849343561025574,1.451723728161979
1,2091,1,B,launch,nan,26,0.5475696237288168,0.5744346458913201,0.24852325210905415,0.7488142074983755,26,3.320696128160203,4.133672782040754,1.0539320304935078,4.818068397170768,26,1.1317377523834817,1.141000110244085,0.6375144922754272,1.4684238452934184
1,2091,1,B,target_stop,nan,115,0.06185209550828655,0.07829681187898035,-0.043055123490158824,0.251697909829191,115,1.1568376165065741,0.7508545375996943,0.19148547098193947,2.6357159693094236,115,-0.6638671864968074,-0.0014478982308513732,-1.4949054005450773,0.0
1,2091,1,B,decelerate,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan
1,2091,1,B,turn,nan,71,0.6851343916072655,0.701282360782665,0.2282985939773825,1.226610208824034,71,2.424856723137993,1.8949355953941245,-0.14984330582504568,5.753526126248734,71,2.8334770267956664,1.477771907723123,-0.08021964906081602,6.41519053111706
1,2091,1,B,cruise,nan,294,0.4421077127696371,0.3415003890202787,-0.009373833122207381,1.158736510549867,294,0.21056389893855096,0.1471932290170126,-0.8975805230099332,0.8659365467427256,294,0.5715431831045579,0.6350763221911135,0.05066015596449254,1.127093680754962
1,3514,1,D,all,0.4,519,0.4695533623904117,0.0414588148647379,-0.0403927059572327,2.1320262234436336,519,0.43166257970712946,-0.06608516385778085,-0.16476241006926298,1.7410518789318015,519,0.45075216567166887,-6.673236126597496e-05,-0.04451291446377201,1.4508400926642437
1,3514,1,D,launch,nan,15,2.3741855827827325,2.354301388907909,2.3327607148017306,2.429251168345583,15,3.8497854050331792,3.8644631217292242,3.254645429223064,4.508043532236471,15,6.160760782807878,6.579508593179686,6.151518356160589,6.646861673016458
1,3514,1,D,target_stop,nan,79,1.519832307814787,2.028648939415506,0.11467776580240746,2.394275842556147,79,0.932108094654684,0.9032059205339156,0.21355320206703438,1.8978658390312746,79,-0.18463780044881728,-0.013014523545050581,-0.8037930608904919,-0.00015724415167304076
1,3514,1,D,decelerate,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan
1,3514,1,D,turn,nan,19,1.8284102116653447,1.9090926153465544,1.1191245700510997,2.3707090319602795,19,3.7793339277612126,3.729707760095075,3.344016915687431,4.336661378111854,19,4.900705602418044,4.745858534309947,4.000493995421462,6.106401795451759
1,3514,1,D,cruise,nan,406,0.13122873152678075,0.021370758734884365,-0.04544059221438346,0.5281218644832335,406,0.05133550169290496,-0.08002123674245798,-0.171242760328572,0.23950737645500497,406,0.15517719712066919,0.004331385917287989,-0.03732440892170308,0.2321634025989403
1,3514,0,A,all,0.1,518,0.16820995584935766,0.24135444827911695,-0.694519280315264,0.9272424508655697,518,0.27291082459683047,0.2965193584559221,-1.3460883706279374,1.2499920527611466,518,-1.5526244684341526,0.10610401990732177,-7.674572478259799,0.8381072119060821
