source,repeat,level,route,seed,arm,frames,valid_ticks,phantom_ticks,phantom_pct,phantom_episodes,standstill_phantom_ticks,ds,rc,official_status
d2,1,1,26405,1,A,393,392,0,0.0,0,0,100.0,100.0,Completed
d2,1,1,26405,1,B,466,465,5,1.0752688172043012,1,1,29.451353,100.0,Completed
d2,1,1,3514,1,B,554,553,56,10.126582278481013,9,56,100.0,100.0,Completed
d2,1,1,3514,1,C,518,517,19,3.67504835589942,1,14,65.0,100.0,Completed
d2,1,2,27529,0,B,623,622,16,2.572347266881029,4,15,100.0,100.0,Completed
d2,1,2,27529,0,C,465,464,0,0.0,0,0,24.0096,50.02,Failed - Agent deviated from the route
d2,1,2,28154,0,B,647,646,0,0.0,0,0,100.0,100.0,Completed
d2,1,2,28154,0,C,629,628,12,1.910828025477707,4,8,36.0,100.0,Completed
d2,2,1,26405,1,A,382,381,0,0.0,0,0,100.0,100.0,Completed
d2,2,1,26405,1,B,1598,1597,1096,68.62867877269882,33,1095,23.447149,72.71,Failed - Agent got blocked
d2,2,1,3514,1,B,2338,2337,540,23.106546854942234,62,532,90.918173,100.0,Completed
d2,2,1,3514,1,C,516,515,18,3.4951456310679614,1,14,65.0,100.0,Completed
d2,2,2,27529,0,B,549,548,0,0.0,0,0,100.0,100.0,Completed
d2,2,2,27529,0,C,467,466,0,0.0,0,0,24.0096,50.02,Failed - Agent deviated from the route
d2,2,2,28154,0,B,656,655,0,0.0,0,0,100.0,100.0,Completed
d2,2,2,28154,0,C,613,612,59,9.640522875816995,8,54,36.0,100.0,Completed
formal,0,1,17569,0,A,439,438,19,4.337899543378995,3,18,100.0,100.0,Completed
formal,0,1,17569,0,B,506,505,8,1.5841584158415842,5,7,60.0,100.0,Completed
formal,0,1,17569,0,C,435,434,12,2.7649769585253456,1,0,60.0,100.0,Completed
formal,0,1,17569,0,D,382,381,4,1.0498687664041995,1,0,60.0,100.0,Completed
formal,0,1,17569,1,A,2341,2340,1348,57.6068376068376,106,1337,100.0,100.0,Completed
formal,0,1,17569,1,B,645,644,60,9.316770186335404,12,51,100.0,100.0,Completed
formal,0,1,17569,1,C,411,410,9,2.195121951219512,4,6,100.0,100.0,Completed
formal,0,1,17569,1,D,390,389,0,0.0,0,0,100.0,100.0,Completed
