source,repeat,level,route,seed,arm,eligible_ticks,frozen_phantom_ticks,rule_a_phantom_ticks,rule_b_phantom_ticks
d2,1,1,26405,1,A,35,0,0,0
d2,1,1,26405,1,B,34,5,0,5
d2,1,1,3514,1,B,90,56,0,1
d2,1,1,3514,1,C,22,19,0,2
d2,1,2,27529,0,B,274,16,0,0
d2,1,2,27529,0,C,211,0,0,0
d2,1,2,28154,0,B,76,0,0,0
d2,1,2,28154,0,C,33,12,0,12
d2,2,1,26405,1,A,26,0,0,0
d2,2,1,26405,1,B,1122,1096,0,992
d2,2,1,3514,1,B,577,540,0,439
d2,2,1,3514,1,C,21,18,0,1
d2,2,2,27529,0,B,212,0,0,0
d2,2,2,27529,0,C,209,0,0,0
d2,2,2,28154,0,B,82,0,0,0
d2,2,2,28154,0,C,90,59,0,6
formal,0,1,17569,0,A,80,19,0,2
formal,0,1,17569,0,B,102,8,0,6
formal,0,1,17569,0,C,38,12,0,2
formal,0,1,17569,0,D,27,4,0,4
formal,0,1,17569,1,A,1460,1348,0,470
formal,0,1,17569,1,B,91,60,0,36
formal,0,1,17569,1,C,44,9,0,4
formal,0,1,17569,1,D,24,0,0,0
formal,0,1,17569,2,A,153,63,0,16
formal,0,1,17569,2,B,103,2,0,1
formal,0,1,17569,2,C,35,0,0,0
formal,0,1,17569,2,D,55,20,0,0
formal,0,1,2091,0,A,133,0,0,0
formal,0,1,2091,0,B,421,154,0,9
formal,0,1,2091,0,C,1488,80,0,5
formal,0,1,2091,0,D,36,11,0,2
formal,0,1,2091,1,A,265,1,0,0
formal,0,1,2091,1,B,195,18,0,0
formal,0,1,2091,1,C,351,41,0,5
formal,0,1,2091,1,D,73,30,0,2
formal,0,1,2091,2,A,136,1,0,0
formal,0,1,2091,2,B,1224,1057,0,1006
formal,0,1,2091,2,C,761,31,0,6
formal,0,1,2091,2,D,1799,74,0,25
formal,0,1,25378,0,A,11,0,0,0
formal,0,1,25378,0,B,11,0,0,0
formal,0,1,25378,0,C,19,0,0,0
formal,0,1,25378,0,D,19,0,0,0
formal,0,1,25378,1,A,11,0,0,0
formal,0,1,25378,1,B,11,0,0,0
formal,0,1,25378,1,C,19,0,0,0
formal,0,1,25378,1,D,20,0,0,0
formal,0,1,25378,2,A,11,0,0,0
formal,0,1,25378,2,B,11,0,0,0
formal,0,1,25378,2,C,19,0,0,0
formal,0,1,25378,2,D,19,0,0,0
formal,0,1,25381,0,A,18,3,0,3
formal,0,1,25381,0,B,17,0,0,0
formal,0,1,25381,0,C,20,0,0,0
formal,0,1,25381,0,D,19,0,0,0
formal,0,1,25381,1,A,13,0,0,0
formal,0,1,25381,1,B,14,0,0,0
formal,0,1,25381,1,C,20,0,0,0
formal,0,1,25381,1,D,19,0,0,0
formal,0,1,25381,2,A,12,0,0,0
formal,0,1,25381,2,B,16,0,0,0
formal,0,1,25381,2,C,20,0,0,0
formal,0,1,25381,2,D,19,0,0,0
formal,0,1,25424,0,A,80,19,0,15
formal,0,1,25424,0,B,1870,111,0,7
formal,0,1,25424,0,C,23,0,0,0
formal,0,1,25424,0,D,1064,854,0,166
formal,0,1,25424,1,A,36,2,0,2
formal,0,1,25424,1,B,1878,819,0,8
formal,0,1,25424,1,C,68,17,0,11
formal,0,1,25424,1,D,105,30,0,7
formal,0,1,25424,2,A,78,13,0,12
formal,0,1,25424,2,B,1867,900,0,24
formal,0,1,25424,2,C,33,9,0,3
formal,0,1,25424,2,D,78,16,0,8
formal,0,1,26405,0,A,25,0,0,0
formal,0,1,26405,0,B,1288,550,0,0
formal,0,1,26405,0,C,40,0,0,0
formal,0,1,26405,0,D,63,0,0,0
formal,0,1,26405,1,A,27,0,0,0
formal,0,1,26405,1,B,91,66,0,62
formal,0,1,26405,1,C,33,1,0,0
formal,0,1,26405,1,D,51,1,0,0
formal,0,1,26405,2,A,30,0,0,0
formal,0,1,26405,2,B,1235,1211,0,266
formal,0,1,26405,2,C,62,0,0,0
formal,0,1,26405,2,D,56,0,0,0
formal,0,1,27494,0,A,202,24,0,0
formal,0,1,27494,0,B,1151,54,0,9
formal,0,1,27494,0,C,28,5,0,3
formal,0,1,27494,0,D,216,4,0,0
formal,0,1,27494,1,A,209,124,0,0
formal,0,1,27494,1,B,1148,176,0,9
formal,0,1,27494,1,C,383,1,0,0
formal,0,1,27494,1,D,219,2,0,0
formal,0,1,27494,2,A,201,0,0,0
formal,0,1,27494,2,B,1153,175,0,2
formal,0,1,27494,2,C,221,2,0,1
formal,0,1,27494,2,D,71,12,0,2
formal,0,1,28198,0,A,63,1,0,0
formal,0,1,28198,0,B,38,0,0,0
formal,0,1,28198,0,C,52,19,0,0
formal,0,1,28198,0,D,54,25,0,2
formal,0,1,28198,1,A,67,0,0,0
formal,0,1,28198,1,B,49,0,0,0
formal,0,1,28198,1,C,53,23,0,0
formal,0,1,28198,1,D,54,22,0,0
formal,0,1,28198,2,A,64,0,0,0
formal,0,1,28198,2,B,46,0,0,0
formal,0,1,28198,2,C,55,25,0,0
formal,0,1,28198,2,D,55,19,0,0
formal,0,1,3255,0,A,284,0,0,0
formal,0,1,3255,0,B,194,0,0,0
formal,0,1,3255,0,C,182,49,0,4
formal,0,1,3255,0,D,277,0,0,0
formal,0,1,3255,1,A,285,0,0,0
formal,0,1,3255,1,B,777,0,0,0
formal,0,1,3255,1,C,195,32,0,2
formal,0,1,3255,1,D,1953,656,0,79
formal,0,1,3255,2,A,296,0,0,0
formal,0,1,3255,2,B,2601,0,0,0
formal,0,1,3255,2,C,118,84,0,39
formal,0,1,3255,2,D,121,12,0,4
formal,0,1,3514,0,A,89,60,0,1
formal,0,1,3514,0,B,1894,1115,0,47
formal,0,1,3514,0,C,23,18,0,1
formal,0,1,3514,0,D,23,19,0,1
formal,0,1,3514,1,A,89,58,0,1
formal,0,1,3514,1,B,1063,1035,0,778
formal,0,1,3514,1,C,21,18,0,1
formal,0,1,3514,1,D,22,18,0,1
formal,0,1,3514,2,A,90,60,0,2
formal,0,1,3514,2,B,404,370,0,301
formal,0,1,3514,2,C,23,18,0,1
formal,0,1,3514,2,D,23,19,0,1
formal,0,1r,17569,0,A,85,14,0,2
formal,0,1r,2091,0,A,141,0,0,0
formal,0,1r,25378,0,A,11,0,0,0
formal,0,1r,25381,0,A,15,0,0,0
formal,0,1r,25424,0,A,43,10,0,9
formal,0,1r,26405,0,A,31,0,0,0
formal,0,1r,27494,0,A,201,117,0,0
formal,0,1r,28198,0,A,65,0,0,0
formal,0,1r,3255,0,A,280,0,0,0
formal,0,1r,3514,0,A,90,62,0,2
formal,0,2,2050,0,A,31,1,0,0
formal,0,2,2050,0,B,17,1,0,0
formal,0,2,2050,0,C,49,1,0,0
formal,0,2,2050,0,D,42,1,0,0
formal,0,2,2050,1,A,83,9,0,0
formal,0,2,2050,1,B,18,0,0,0
formal,0,2,2050,1,C,43,0,0,0
formal,0,2,2050,1,D,45,10,0,2
