level,route,seed,arm,divergence_step,divergent,phantom_own_prior_0_5s,phantom_B_prior_0_5s,phantom_either_prior_0_5s,own_phantom_ticks,B_phantom_ticks
1,17569,0,C,14,True,False,False,False,12,8
1,17569,0,D,14,True,False,False,False,4,8
1,17569,1,C,14,True,False,False,False,9,60
1,17569,1,D,14,True,False,False,False,0,60
1,17569,2,C,14,True,False,False,False,0,2
1,17569,2,D,14,True,False,False,False,20,2
1,2091,0,C,14,True,False,False,False,80,154
1,2091,0,D,14,True,False,False,False,11,154
1,2091,1,C,14,True,False,False,False,41,18
1,2091,1,D,14,True,False,False,False,30,18
1,2091,2,C,14,True,False,False,False,31,1057
1,2091,2,D,14,True,False,False,False,74,1057
1,25378,0,C,14,True,False,False,False,0,0
1,25378,0,D,14,True,False,False,False,0,0
1,25378,1,C,14,True,False,False,False,0,0
1,25378,1,D,14,True,False,False,False,0,0
1,25378,2,C,14,True,False,False,False,0,0
1,25378,2,D,14,True,False,False,False,0,0
1,25381,0,C,15,True,False,False,False,0,0
1,25381,0,D,15,True,False,False,False,0,0
1,25381,1,C,15,True,False,False,False,0,0
1,25381,1,D,15,True,False,False,False,0,0
1,25381,2,C,15,True,False,False,False,0,0
1,25381,2,D,15,True,False,False,False,0,0
1,25424,0,C,14,True,False,False,False,0,111
1,25424,0,D,14,True,False,False,False,854,111
1,25424,1,C,14,True,False,False,False,17,819
1,25424,1,D,14,True,False,False,False,30,819
1,25424,2,C,14,True,False,False,False,9,900
1,25424,2,D,14,True,False,False,False,16,900
1,26405,0,C,14,True,False,False,False,0,550
1,26405,0,D,14,True,False,False,False,0,550
1,26405,1,C,14,True,False,False,False,1,66
1,26405,1,D,14,True,False,False,False,1,66
1,26405,2,C,15,True,False,False,False,0,1211
1,26405,2,D,15,True,False,False,False,0,1211
1,27494,0,C,14,True,False,False,False,5,54
1,27494,0,D,14,True,False,False,False,4,54
1,27494,1,C,14,True,False,False,False,1,176
1,27494,1,D,14,True,False,False,False,2,176
1,27494,2,C,14,True,False,False,False,2,175
1,27494,2,D,14,True,False,False,False,12,175
1,28198,0,C,14,True,False,False,False,19,0
1,28198,0,D,14,True,False,False,False,25,0
1,28198,1,C,14,True,False,False,False,23,0
1,28198,1,D,14,True,False,False,False,22,0
1,28198,2,C,14,True,False,False,False,25,0
1,28198,2,D,14,True,False,False,False,19,0
1,3255,0,C,14,True,False,False,False,49,0
1,3255,0,D,14,True,False,False,False,0,0
1,3255,1,C,14,True,False,False,False,32,0
1,3255,1,D,14,True,False,False,False,656,0
1,3255,2,C,14,True,False,False,False,84,0
1,3255,2,D,14,True,False,False,False,12,0
1,3514,0,C,23,True,True,True,True,18,1115
1,3514,0,D,22,True,True,True,True,19,1115
1,3514,1,C,21,True,True,True,True,18,1035
1,3514,1,D,22,True,True,True,True,18,1035
1,3514,2,C,23,True,True,True,True,18,370
1,3514,2,D,23,True,True,True,True,19,370
2,2050,0,C,14,True,False,False,False,1,1
2,2050,0,D,14,True,False,False,False,1,1
2,2050,1,C,14,True,False,False,False,0,0
2,2050,1,D,14,True,False,False,False,10,0
2,2050,2,C,14,True,False,False,False,0,1
2,2050,2,D,14,True,False,False,False,6,1
2,2084,0,C,14,True,False,False,False,27,11
2,2084,0,D,14,True,False,False,False,3,11
2,2084,1,C,14,True,False,False,False,198,15
2,2084,1,D,14,True,False,False,False,17,15
2,2084,2,C,14,True,False,False,False,17,0
2,2084,2,D,14,True,False,False,False,2,0
2,25318,0,C,14,True,False,False,False,1712,0
2,25318,0,D,14,True,False,False,False,2383,0
2,25318,1,C,14,True,False,False,False,0,0
2,25318,1,D,14,True,False,False,False,2437,0
2,25318,2,C,14,True,False,False,False,0,28
2,25318,2,D,14,True,False,False,False,1402,28
2,27529,0,C,14,True,False,False,False,0,0
2,27529,0,D,14,True,False,False,False,0,0
2,27529,1,C,14,True,False,False,False,0,0
2,27529,1,D,14,True,False,False,False,0,0
2,27529,2,C,14,True,False,False,False,10,4
2,27529,2,D,14,True,False,False,False,4,4
2,28154,0,C,14,True,False,False,False,31,0
2,28154,0,D,14,True,False,False,False,67,0
2,28154,1,C,14,True,False,False,False,72,0
2,28154,1,D,14,True,False,False,False,60,0
2,28154,2,C,14,True,False,False,False,65,0
2,28154,2,D,14,True,False,False,False,50,0
2,3072,0,C,14,True,False,False,False,0,0
2,3072,0,D,14,True,False,False,False,0,0
2,3072,1,C,14,True,False,False,False,0,0
2,3072,1,D,14,True,False,False,False,0,0
2,3072,2,C,14,True,False,False,False,0,0
2,3072,2,D,14,True,False,False,False,0,0
