level,route,seed,arm,old_ds,new_ds,ds_change,old_rc,new_rc,old_status,new_status,old_phantom_ticks,old_linked_event,old_linked_event_step,new_same_event_near_old_step_3s,new_same_event_anytime,new_event_types
1,17569,0,C,60.0,100.0,40.0,100.0,100.0,Completed,Completed,12,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,17569,0,D,60.0,100.0,40.0,100.0,100.0,Completed,Completed,4,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,17569,1,C,100.0,100.0,0.0,100.0,100.0,Completed,Completed,9,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,17569,1,D,100.0,100.0,0.0,100.0,100.0,Completed,Completed,0,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,17569,2,C,100.0,60.0,-40.0,100.0,100.0,Completed,Completed,0,,,False,False,COLLISION_VEHICLE|MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,17569,2,D,100.0,60.0,-40.0,100.0,100.0,Completed,Completed,20,,,False,False,COLLISION_VEHICLE|MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,2091,0,C,31.92,26.604,-5.3160000000000025,53.2,44.34,Failed - TickRuntime,Failed - TickRuntime,80,,,False,False,COLLISION_VEHICLE|MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,2091,0,D,80.0,28.374,-51.626000000000005,100.0,47.29,Completed,Failed - TickRuntime,11,STOP_INFRACTION,154,False,False,COLLISION_VEHICLE|MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,2091,1,C,60.0,28.374,-31.626,100.0,47.29,Completed,Failed - TickRuntime,41,COLLISION_VEHICLE,463,False,True,COLLISION_VEHICLE|MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,2091,1,D,60.0,60.0,0.0,100.0,100.0,Completed,Completed,30,,,False,False,COLLISION_VEHICLE|MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,2091,2,C,100.0,60.0,-40.0,100.0,100.0,Completed,Completed,31,,,False,False,COLLISION_VEHICLE|MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,2091,2,D,60.0,60.0,0.0,100.0,100.0,Completed,Completed,74,COLLISION_VEHICLE,1894,False,True,COLLISION_VEHICLE|MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,25378,0,C,70.0,70.0,0.0,100.0,100.0,Completed,Completed,0,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,25378,0,D,70.0,70.0,0.0,100.0,100.0,Completed,Completed,0,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,25378,1,C,70.0,70.0,0.0,100.0,100.0,Completed,Completed,0,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,25378,1,D,70.0,70.0,0.0,100.0,100.0,Completed,Completed,0,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,25378,2,C,70.0,70.0,0.0,100.0,100.0,Completed,Completed,0,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,25378,2,D,70.0,70.0,0.0,100.0,100.0,Completed,Completed,0,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,25381,0,C,100.0,100.0,0.0,100.0,100.0,Completed,Completed,0,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,25381,0,D,100.0,100.0,0.0,100.0,100.0,Completed,Completed,0,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,25381,1,C,100.0,100.0,0.0,100.0,100.0,Completed,Completed,0,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,25381,1,D,100.0,100.0,0.0,100.0,100.0,Completed,Completed,0,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,25381,2,C,100.0,100.0,0.0,100.0,100.0,Completed,Completed,0,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,25381,2,D,100.0,100.0,0.0,100.0,100.0,Completed,Completed,0,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,25424,0,C,92.45708,100.0,7.542919999999995,100.0,100.0,Completed,Completed,0,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,25424,0,D,58.86863,100.0,41.13137,100.0,100.0,Completed,Completed,854,OUTSIDE_ROUTE_LANES_INFRACTION,210,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,25424,1,C,98.114381,100.0,1.8856190000000055,100.0,100.0,Completed,Completed,17,OUTSIDE_ROUTE_LANES_INFRACTION,211,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,25424,1,D,58.86863,100.0,41.13137,100.0,100.0,Completed,Completed,30,OUTSIDE_ROUTE_LANES_INFRACTION,210,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,25424,2,C,92.45708,100.0,7.542919999999995,100.0,100.0,Completed,Completed,9,OUTSIDE_ROUTE_LANES_INFRACTION,198,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,25424,2,D,97.171467,100.0,2.828532999999993,100.0,100.0,Completed,Completed,16,OUTSIDE_ROUTE_LANES_INFRACTION,208,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,26405,0,C,100.0,100.0,0.0,100.0,100.0,Completed,Completed,0,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,26405,0,D,100.0,100.0,0.0,100.0,100.0,Completed,Completed,0,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,26405,1,C,100.0,100.0,0.0,100.0,100.0,Completed,Completed,1,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,26405,1,D,100.0,100.0,0.0,100.0,100.0,Completed,Completed,1,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,26405,2,C,100.0,100.0,0.0,100.0,100.0,Completed,Completed,0,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,26405,2,D,100.0,100.0,0.0,100.0,100.0,Completed,Completed,0,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,27494,0,C,60.0,100.0,40.0,100.0,100.0,Completed,Completed,5,COLLISION_VEHICLE,212,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,27494,0,D,100.0,100.0,0.0,100.0,100.0,Completed,Completed,4,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,27494,1,C,100.0,100.0,0.0,100.0,100.0,Completed,Completed,1,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,27494,1,D,100.0,100.0,0.0,100.0,100.0,Completed,Completed,2,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,27494,2,C,100.0,100.0,0.0,100.0,100.0,Completed,Completed,2,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
