level,route,seed,contrast,ds_diff,diverged,divergence_step,divergence_time_s,distance_m,speed_delta_mps,speed_mps,target_mps,plan_first_mps,plan_mean8_mps,turn_deg,stop_sign,creep,intent,speed_bin,next_event_side,next_event_cause,next_event_step,next_event_delta_s
1,2091,0,A-B,0.0,True,54,2.7500000409781933,0.023275450937920095,1.6574379748236296,6.958,0.0,6.604,4.38,-0.03,True,False,target_stop,3-8,arm,collisions_vehicle,273,10.950000000000001
1,2091,0,C-B,-33.396,True,14,0.7500000111758709,0.10205107328382258,1.1246073394105671,0.0,1.336,0.484,4.638,-0.03,True,False,launch,<0.5,B,collisions_vehicle,361,17.35
1,2091,1,A-B,0.0,True,45,2.3000000342726707,0.04186851565131296,1.0696308315097225,5.517,5.969,5.719,5.184,-0.0,True,False,cruise,3-8,B,collisions_vehicle,373,16.400000000000002
1,2091,1,C-B,-31.626,True,14,0.7500000111758709,0.10180693335914148,1.0949153403766179,0.0,1.367,0.499,4.663,-0.03,True,False,launch,<0.5,B,collisions_vehicle,373,17.95
1,2091,2,A-B,76.06,True,47,2.400000035762787,0.08168729698313533,1.0047464711977359,5.216,5.75,5.74,5.071,0.02,True,False,cruise,3-8,B,collisions_vehicle,369,16.1
1,2091,2,C-B,36.06,True,14,0.7500000111758709,0.10278349307782736,1.1036088030984044,0.0,1.367,0.542,4.763,-0.02,True,False,launch,<0.5,B,collisions_vehicle,369,17.75
1,3255,0,A-B,0.0,True,34,1.750000026077032,0.15434032745799164,1.413615269317245,6.707,0.0,6.635,5.991,0.04,False,False,target_stop,3-8,,,,nan
1,3255,0,C-B,0.0,True,14,0.7500000111758709,0.09765855786457536,1.0367456171309826,0.0,1.109,0.755,4.016,-0.03,False,False,launch,<0.5,,,,nan
1,3255,1,A-B,50.0,True,33,1.700000025331974,0.0932752190050812,1.034255265739655,6.331,6.219,6.417,6.113,0.03,False,False,cruise,3-8,B,collisions_pedestrian,598,28.25
1,3255,1,C-B,50.0,True,14,0.7500000111758709,0.09765815733000673,1.0581741510331193,0.0,1.102,0.768,4.125,-0.01,False,False,launch,<0.5,B,collisions_pedestrian,598,29.200000000000003
1,3255,2,A-B,50.0,True,34,1.750000026077032,0.11040077125048411,1.2025232672006982,6.791,0.0,6.615,5.939,0.04,False,False,target_stop,3-8,B,collisions_pedestrian,2620,129.3
1,3255,2,C-B,50.0,True,14,0.7500000111758709,0.0986355318506629,1.0561943349550218,0.0,1.109,0.768,4.127,-0.01,False,False,launch,<0.5,B,collisions_pedestrian,2620,130.3
1,3514,0,A-B,10.595528000000002,True,112,5.650000084191561,0.7976616361400699,1.1544345042504753,5.226,6.719,5.947,6.51,4.33,False,False,cruise,3-8,B,outside_route_lanes,136,1.2000000000000002
1,3514,0,C-B,10.595528000000002,True,100,5.050000075250864,0.24143668664947818,1.0430007919374906,1.623,6.688,3.471,5.764,27.22,False,False,turn,0.5-3,B,outside_route_lanes,136,1.8
1,3514,1,A-B,8.324978000000002,True,100,5.050000075250864,0.3414412910408774,1.0307418110168625,2.002,6.75,3.863,5.969,21.08,False,False,turn,0.5-3,B,outside_route_lanes,135,1.75
1,3514,1,C-B,8.324978000000002,True,99,5.000000074505806,0.2921318817242183,1.2343504012595323,1.43,6.719,2.871,5.542,29.19,False,False,turn,0.5-3,B,outside_route_lanes,135,1.8
1,3514,2,A-B,9.081827000000004,True,100,5.050000075250864,0.34686119808197524,1.0386303440653502,1.994,6.812,3.905,5.993,20.38,False,False,turn,0.5-3,B,outside_route_lanes,135,1.75
1,3514,2,C-B,9.081827000000004,True,98,4.950000073760748,0.2529208502090911,1.055269312737649,1.281,6.75,2.686,5.469,30.22,False,False,turn,0.5-3,B,outside_route_lanes,135,1.85
1,17569,0,A-B,40.0,True,80,4.050000060349703,0.104218311223103,1.1596670488712455,8.982,0.0,8.688,6.936,0.2,False,False,target_stop,>=8,B,collisions_vehicle,398,15.9
1,17569,0,C-B,40.0,True,14,0.7500000111758709,0.1003450639104699,1.0806200306112612,0.0,0.98,0.585,3.903,-0.01,False,False,launch,<0.5,B,collisions_vehicle,398,19.200000000000003
1,17569,1,A-B,0.0,True,81,4.100000061094761,0.10981444226948034,1.1115072409338849,9.021,0.0,8.708,6.972,0.16,False,False,target_stop,>=8,,,,nan
1,17569,1,C-B,0.0,True,14,0.7500000111758709,0.10130982880127261,1.1423388717235772,0.0,0.98,0.589,3.905,-0.01,False,False,launch,<0.5,,,,nan
1,17569,2,A-B,40.0,True,80,4.050000060349703,0.23933004729088006,1.1381284400417613,8.973,0.0,8.729,6.902,0.15,False,False,target_stop,>=8,B,collisions_vehicle,416,16.8
1,17569,2,C-B,0.0,True,14,0.7500000111758709,0.10058623378672989,1.136896118436843,0.0,0.98,0.585,3.89,-0.01,False,False,launch,<0.5,arm,collisions_vehicle,309,14.75
1,25378,0,A-B,0.0,True,43,2.2000000327825546,0.10904736306262944,1.450456522508329,6.419,0.0,4.396,5.587,-0.01,False,False,target_stop,3-8,B,yield_emergency_vehicle_infractions,253,10.5
1,25378,0,C-B,0.0,True,14,0.7500000111758709,0.10434755142718811,1.0930796535815999,0.0,1.0,0.702,4.675,-0.03,False,False,launch,<0.5,B,yield_emergency_vehicle_infractions,253,11.950000000000001
1,25378,1,A-B,0.0,True,43,2.2000000327825546,0.11779038919520647,1.4154718377764501,6.171,0.0,4.026,5.416,-0.0,False,False,target_stop,3-8,,,,nan
1,25378,1,C-B,0.0,True,14,0.7500000111758709,0.10541553087308395,1.1121673265877376,0.0,1.023,0.707,4.688,-0.03,False,False,launch,<0.5,,,,nan
1,25378,2,A-B,0.0,True,71,3.6000000536441803,0.4086513126468581,1.23188704480898,8.232,8.312,8.188,8.331,0.0,False,False,cruise,>=8,,,,nan
1,25378,2,C-B,0.0,True,14,0.7500000111758709,0.10534712171406577,1.1107920557462674,0.0,1.016,0.701,4.665,-0.03,False,False,launch,<0.5,,,,nan
1,25381,0,A-B,0.0,True,42,2.1500000320374966,0.08904179651163276,1.75045889113537,4.588,5.219,4.99,5.921,0.0,False,False,cruise,3-8,,,,nan
1,25381,0,C-B,0.0,True,15,0.800000011920929,0.1386824996587211,1.1367177924632297,0.0,1.078,0.737,3.965,-0.07,False,False,launch,<0.5,,,,nan
1,25381,1,A-B,0.0,True,42,2.1500000320374966,0.057844776572058346,1.513440705897735,4.588,5.219,5.01,5.966,0.01,False,False,cruise,3-8,,,,nan
1,25381,1,C-B,0.0,True,15,0.800000011920929,0.13852031662838465,1.116473751536924,0.0,1.078,0.742,3.938,-0.07,False,False,launch,<0.5,,,,nan
1,25381,2,A-B,0.0,True,35,1.8000000268220901,0.057714916123961645,1.1434678149443176,6.276,5.812,6.375,5.954,-0.01,False,False,cruise,3-8,,,,nan
1,25381,2,C-B,0.0,True,15,0.800000011920929,0.13939228170229945,1.134951434949836,0.0,1.078,0.73,3.962,-0.08,False,False,launch,<0.5,,,,nan
1,25424,0,A-B,0.0,True,39,2.0000000298023224,0.025897325402687733,1.9807627024274623,4.149,4.531,4.594,6.19,0.03,False,False,cruise,3-8,,,,nan
1,25424,0,C-B,0.0,True,14,0.7500000111758709,0.10220369263190864,1.1119602687201846,0.0,0.992,0.585,3.867,-0.02,False,False,launch,<0.5,,,,nan
1,25424,1,A-B,-3.7714320000000043,True,38,1.9500000290572643,0.05047278987434908,2.218861264155141,4.189,4.625,4.625,6.195,-0.02,False,False,cruise,3-8,arm,outside_route_lanes,198,8.0
1,25424,1,C-B,0.0,True,14,0.7500000111758709,0.10112050051870089,1.0831448912549113,0.0,1.0,0.581,3.881,-0.02,False,False,launch,<0.5,,,,nan
1,25424,2,A-B,0.0,True,38,1.9500000290572643,0.022236909251436916,2.0526887214065193,4.339,4.719,4.573,6.227,0.04,False,False,cruise,3-8,,,,nan
1,25424,2,C-B,0.0,True,14,0.7500000111758709,0.10067833665652123,1.0798159644687004,0.0,0.969,0.586,3.831,-0.02,False,False,launch,<0.5,,,,nan
1,26405,0,A-B,76.552851,True,158,7.9500001184642315,1.008246575992908,0.6062362469631823,8.543,8.312,8.521,6.626,-2.04,False,False,cruise,>=8,B,collisions_vehicle,261,5.15
1,26405,0,C-B,76.552851,True,14,0.7500000111758709,0.09655995131033315,1.040530184392116,0.0,0.945,0.565,4.026,-0.65,False,False,launch,<0.5,B,collisions_vehicle,261,12.350000000000001
