level,route,seed,arm,start_tick,end_tick,n_ticks,duration_s,first_mps,mean8_mps,tfv6_target_mps,c_desired_mps,c_effective_mps,c_reason_top,c_stop_hold_pct,c_invalid_motion_pct,c_raw_brake_pct,c_final_brake_pct,c_raw_throttle,c_final_throttle,active_reason_top,active_stop_hold_pct,active_invalid_motion_pct,b_desired_mps,b_raw_throttle,b_final_throttle,b_final_brake,stop_sign_active_pct,creep_active_pct,postprocessor_changed_pct,stop_sign_changed_pct,creep_changed_pct,meaningful_reverse_pct,classification
1,17569,0,C,465,646,182,9.1,0.0863,1.7325,1.8828,0.0863,0.0863,tracking,39.6,2.7,42.3,42.3,0.0382,0.0382,tracking,39.6,2.7,1.114,2.1427,2.1427,0.0,0.0,0.0,0.0,0.0,0.0,2.7,launch hold
1,3255,0,C,181,276,96,4.8,0.002,0.9699,0.0,0.002,0.0,stop_hold,61.5,6.2,68.8,68.8,0.0,0.0,stop_hold,61.5,6.2,0.0033,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.2,other
1,3255,0,C,468,613,146,7.3,0.0078,0.0019,0.0,0.0078,0.0,stop_hold,69.2,4.8,74.0,74.0,0.0,0.0,stop_hold,69.2,4.8,0.0008,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.8,other
1,3255,0,D,181,258,78,3.9,0.0013,0.4584,0.0,0.0013,0.0,stop_hold,75.6,5.1,82.1,82.1,0.0,0.0,stop_hold,75.6,5.1,0.0014,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.1,other
1,3255,0,D,516,616,101,5.05,0.0246,0.0071,0.0,0.0246,0,stop_hold,67.3,2.0,69.3,69.3,0.0,0.0,stop_hold,67.3,2.0,0.0051,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,other
1,3255,1,C,181,262,82,4.1,0.0013,0.6491,0.0,0.0013,0.0,stop_hold,70.7,6.1,78.0,78.0,0.0,0.0,stop_hold,70.7,6.1,0.0019,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.1,other
1,3255,1,C,516,613,98,4.9,0.0167,0.004,0.0,0.0167,0.0,stop_hold,70.4,0.0,70.4,70.4,0.0,0.0,stop_hold,70.4,0.0,0.0017,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,other
1,3255,1,D,181,259,79,3.95,0.0016,0.3598,0.0,0.0016,0,stop_hold,74.7,5.1,81.0,81.0,0.0,0.0,stop_hold,74.7,5.1,0.0017,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,5.1,other
1,3255,1,D,527,617,91,4.55,0.0179,0.0051,0.0,0.0179,0,stop_hold,54.9,2.2,57.1,57.1,0.0,0.0,stop_hold,54.9,2.2,0.0036,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,2.2,other
1,3255,2,C,185,261,77,3.85,0.0012,0.6343,0.0,0.0012,0,stop_hold,77.9,0.0,77.9,77.9,0.0,0.0,stop_hold,77.9,0.0,0.0016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,other
