level,route,seed,comparison,ds_diff,rc_diff,completed_diff,sr_diff,collisions_layout_per_km_diff,collisions_pedestrian_per_km_diff,collisions_vehicle_per_km_diff,red_light_per_km_diff,stop_infraction_per_km_diff,outside_route_lanes_per_km_diff,min_speed_infractions_per_km_diff,yield_emergency_vehicle_infractions_per_km_diff,scenario_timeouts_per_km_diff,route_dev_per_km_diff,vehicle_blocked_per_km_diff,route_timeout_per_km_diff
1,2091,0,C-B,-33.396,-55.66,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,-157.37498524609512,0.0,0.0,0.0,0.0,0.0
1,2091,0,A-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2091,0,D-C,1.7699999999999996,2.9499999999999957,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2091,1,C-B,-31.626,-52.71,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,-157.37498524609512,0.0,0.0,0.0,0.0,0.0
1,2091,1,A-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2091,1,D-C,31.626,52.71,1,0,0.0,0.0,0.0,0.0,0.0,0.0,157.37498524609512,0.0,0.0,0.0,0.0,0.0
1,2091,2,C-B,36.06,60.1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,170.48956734993638,0.0,0.0,0.0,0.0,0.0
1,2091,2,A-B,76.06,60.1,1,1,0.0,0.0,-13.114582103841261,0.0,0.0,0.0,170.48956734993638,0.0,0.0,0.0,0.0,0.0
1,2091,2,D-C,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3255,0,C-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3255,0,A-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3255,0,D-C,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3255,1,C-B,50.0,0,0,1,0.0,-8.538178465006276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3255,1,A-B,50.0,0,0,1,0.0,-8.538178465006276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3255,1,D-C,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3255,2,C-B,50.0,0,0,1,0.0,-8.538178465006276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
