context,horizon_s,rule,n,long_abs_median_m,long_abs_p95_m,lateral_abs_median_m,lateral_abs_p95_m
standstill,0.25,W2,29182,0.22784080233652182,1.4697622655307017,0.6494236633305945,1.2393731925968845
standstill,0.25,W2b,29182,0.013264974579411882,0.09780829633423815,0.0361328124999515,0.3802083432674354
standstill,0.5,W2,29182,0.09543028527916306,1.4700484773272486,0.049854386577132995,1.218970673573892
standstill,0.5,W2b,29182,0.015359910399843232,0.251947401394133,0.035880730290483505,0.38025639951247664
standstill,1.0,W2,29182,0.13911503162827907,1.4709943331258875,0.06465066019701761,1.1012924216832192
standstill,1.0,W2b,29182,0.026896160095963143,0.6353637594802813,0.0357856769115215,0.3798552317704764
launch,0.25,W2,2119,0.09082362581991692,1.3558614282942325,0.0032399417341759202,1.226059000958334
launch,0.25,W2b,2119,0.046020428129557235,0.1849189328032065,0.0006926905383669345,0.2890326525043122
launch,0.5,W2,2119,0.18485513301391954,1.300334040776754,0.0029390142115155596,1.0730655919631011
launch,0.5,W2b,2119,0.13798395128684554,0.5844735624405561,0.0011540002455407983,0.29431487083809454
launch,1.0,W2,2119,0.5582510821541189,1.6890922295130557,0.005574585281913597,0.6662167698781174
launch,1.0,W2b,2119,0.5774702342458998,1.6891633036839364,0.002341069485052779,0.3583740998609887
