level,route,seed,arm,speed_band,n,long_delta_median,long_delta_p10,long_delta_p90,steer_delta_median,steer_delta_p10,steer_delta_p90,long_abs_gt_0_05,steer_abs_gt_0_05
1,17569,0,C,<0.5,215,-2.1414025723934174,-2.9897376537322997,0.02291948795318592,0.0,-0.3554907348420885,0.18292746023337048,163,120
1,17569,0,C,0.5-3,125,-0.6772684454917908,-2.0126432299613954,1.5514310479164124,0.11417245869835219,-0.11568480012193322,0.35082243641217553,123,92
1,17569,0,C,3-8,220,-0.19122561812400818,-1.981971275806427,1.3201305121183395,6.0204251106673495e-05,-0.07690550088882445,0.0977200348526238,210,59
1,17569,0,C,>=8,86,0.3575127962976694,-0.1851976364850998,1.3720979392528534,-0.00018768458562489184,-0.06236497890029568,0.002629450542994568,80,16
1,17569,0,D,<0.5,25,-1.930223524570465,-2.2597339332103727,-1.5011690020561217,-0.00043628818821161985,-0.0007319592637941241,0.00019265105509354454,25,3
1,17569,0,D,0.5-3,81,-1.6191533207893372,-2.013176143169403,1.2695482969284058,0.0009617520434161027,-0.699999988079071,0.28351833958592676,81,62
1,17569,0,D,3-8,217,-0.2469494342803955,-1.9793357968330383,1.3296552062034608,0.0002796842087991535,-0.13015593844326212,0.1759326806863149,205,91
1,17569,0,D,>=8,95,0.3708910346031189,-0.13865780234336852,1.4039508700370789,0.00011183553918575246,-0.09553995959833264,0.032865952327847565,86,23
1,17569,1,C,<0.5,59,-1.587736040353775,-2.1941127479076385,1.1454962909221649,-0.0006074343109503388,-0.7111463860670725,0.08832997911506232,59,34
1,17569,1,C,0.5-3,123,-0.7085922956466675,-2.0137169122695924,1.518466019630432,0.005661849578221634,-0.3706254678169886,0.2283488468858931,123,83
1,17569,1,C,3-8,208,-0.3373508155345917,-1.9934738278388977,1.1545253142714507,0.0004902594491917019,-0.03501513839347495,0.15085729326804495,195,43
1,17569,1,C,>=8,91,0.3514214754104614,-0.1996481716632843,1.3739463686943054,-0.00022027617753742057,-0.05725076174053053,0.007470625599380582,86,12
1,17569,1,D,<0.5,100,-1.662679061293602,-2.1260084748268127,1.0536237727850677,0.0,-0.217589180290699,0.2779876786371073,79,32
1,17569,1,D,0.5-3,69,-1.9724998474121094,-2.0793786883354186,0.5411708474159246,0.05107690859172078,0.00036462120965330153,0.34690534010446744,69,39
