board,rank,method,family,primary_metric,score,secondary,date,source,code,weights,license,inputs,hack_mechanisms,in_base204,newly_added,notes
navsim_v1,1,EABOT.AI&NJU,unknown,PDMS (navtest),95.61,"NC 99.20 DAC 99.62 EP 92.93 TTC 97.41 C 100 (HF, single seed)",2026-09,"https://huggingface.co/spaces/AGC2024-P/e2e-driving-navtest (public LB, POST /leaderboard, fetched 2026-09-26)",no (not found),no (not found),not found,not found,not audited,no,yes,"anonymous HF team; no paper/code found by name search; identity, inputs and training data unverifiable; above human reference 94.8"
navsim_v1,2,FPD-Drive-Pro,FPD-Drive (NIO/HKUST),PDMS (navtest),95.57,NC 99.30 DAC 99.34 EP 93.21 TTC 97.34 C 100; README claims 95.51,2026-09,"https://huggingface.co/spaces/AGC2024-P/e2e-driving-navtest (public LB, POST /leaderboard, fetched 2026-09-26); https://github.com/CountNemoChan/FPD-Drive README",no (repo has README+assets only) https://github.com/CountNemoChan/FPD-Drive,no,none (no LICENSE file),4 cams + ego history + nav command (README); training uses privileged future observations for teacher only,metric_proxy_candidate_selection (README: safety-aware score correction for candidate selection; code not released),no,yes,scaled variant (training data scaling not specified); no arXiv found; repo created 2026-09-23
navsim_v1,3,CooWAIM,unknown,PDMS (navtest),95.43,NC 99.28 DAC 99.46 EP 92.63 TTC 97.45 C 100,2026-09,"https://huggingface.co/spaces/AGC2024-P/e2e-driving-navtest (public LB, POST /leaderboard, fetched 2026-09-26)",no (not found),no (not found),not found,not found,not audited,no,yes,"anonymous HF team; no paper/code found by name search; identity, inputs and training data unverifiable"
navsim_v1,4,minfishmovemountain,unknown,PDMS (navtest),95.37,NC 99.20 DAC 99.56 EP 92.52 TTC 97.30 C 100,2026-09,"https://huggingface.co/spaces/AGC2024-P/e2e-driving-navtest (public LB, POST /leaderboard, fetched 2026-09-26)",no (not found),no (not found),not found,not found,not audited,no,yes,"anonymous HF team; no paper/code found by name search; identity, inputs and training data unverifiable"
navsim_v1,5,DriveZero-Scale,Xiaomi L3 (builds on DrivoR + SimScale),PDMS (navtest),95.31,HF: NC 99.24 DAC 99.45 EP 92.52 TTC 97.32 C 99.92; paper 95.3 (DriveZero w/o scale 94.8),2026-09,"https://huggingface.co/spaces/AGC2024-P/e2e-driving-navtest (public LB, POST /leaderboard, fetched 2026-09-26); arXiv 2609.06055 Table 4",partial (only nuPlan DriveRL inference; NAVSIM DriveZero listed as TODO) https://github.com/XiaomiAutoL3/DriveZero,no for NAVSIM (DriveRL nuPlan ckpts only),none (no LICENSE file),4 cams (CAM_F0/B0/L0/R0); privileged PPO teacher used only in training,metric_proxy_candidate_selection (paper: learned scoring head on PDM metric targets ranks proposals),no,yes,"navtrain + 237k SimScale synthetic scenes; distilled from RL teacher, no human trajectory supervision; acknowledges DrivoR/SimScale codebases"
navsim_v1,6,iDriveVLA,unknown,PDMS (navtest),94.95,NC 98.93 DAC 99.33 EP 92.86 TTC 96.42 C 99.99,2026-09,"https://huggingface.co/spaces/AGC2024-P/e2e-driving-navtest (public LB, POST /leaderboard, fetched 2026-09-26)",no (not found),no (not found),not found,not found,not audited,no,yes,"anonymous HF team; no paper/code found by name search; identity, inputs and training data unverifiable"
navsim_v1,7,EvaDrive,EvaDrive (NUS/Tsinghua/Xiaomi EV),PDMS (navtest),94.9,NC 98.9 DAC 98.5 EP 93.9 TTC 96.2 C 100 (paper),2025-08,arXiv 2508.09158v2 Table 1,no (not found),no,not found,"3 cams (L/F/R), ResNet34",metric_proxy_candidate_selection (paper: learned multi-objective critic + Pareto selection at test time); not audited in code,no,yes,"paper-only, not on HF board; 94.9 is the 'aggressive' style setting; product of mean sub-scores gives ~93.4 so check per-scene"
navsim_v1,8,TOAD + DrivoR,valeo (DrivoR/TOAD),PDMS (navtest),94.88,HF: NC 99.07 DAC 99.40 EP 92.18 TTC 96.73 C 99.99; arXiv 94.7; README 94.9 (seed=2; 94.8+-0.08),2026-09,"https://huggingface.co/spaces/AGC2024-P/e2e-driving-navtest (public LB, POST /leaderboard, fetched 2026-09-26); arXiv 2606.07170 Table 5; https://github.com/valeoai/TOAD README",yes https://github.com/valeoai/TOAD,"yes (DrivoR base ckpt in GitHub Releases, TOAD release 'Nav1')",Apache-2.0,4 cams,metric_proxy_test_search; benchmark_target_shaping (audit matrix.csv),yes,no,"test-time CEM search using DrivoR scorer as reward, no weight update; previous snapshot #1"
navsim_v1,9,FPD-Drive,FPD-Drive (NIO/HKUST),PDMS (navtest),94.88,HF: NC 99.16 DAC 99.46 EP 91.31 TTC 97.50 C 99.99; README 94.88,2026-09,"https://huggingface.co/spaces/AGC2024-P/e2e-driving-navtest (public LB, POST /leaderboard, fetched 2026-09-26); FPD-Drive README",no (README only) https://github.com/CountNemoChan/FPD-Drive,no,none,4 cams + ego history + nav command,metric_proxy_candidate_selection (README; code not released),no,yes,unscaled variant
navsim_v1,10,ChainFlow-VLA,"AFARI-Research (ChainFlow/WA-JEPA/CoWorld; scorer from DrivoR, VLM from ReCogDrive)",PDMS (navtest),94.85,HF: NC 99.13 DAC 99.28 EP 91.97 TTC 96.99 C 100; train-only ckpt 93.8,2026-05,"https://huggingface.co/spaces/AGC2024-P/e2e-driving-navtest (public LB, POST /leaderboard, fetched 2026-09-26); arXiv 2605.23270; repo README",yes https://github.com/AFARI-Research/ChainFlow-VLA,yes https://huggingface.co/AFARI-Research/ChainFlow-VLA (weights/stage_2/stage2_navtrainval_9485.ckpt),Apache-2.0 (code); HF license unset,cams (DINOv2 ViT-S) + InternVL VLM features (ReCogDrive),"metric_proxy_candidate_selection (code: pdm_score head argmax in chainflow_vla loss/model, train_scorer=true)",no,yes,NeurIPS 2026; 94.85 ckpt trained on navtrainval 103k; was HF #1 on 2026-05-04
