board,rank,method,family,primary_metric,score,secondary,date,source,code,weights,license,inputs,hack_mechanisms,in_base204,newly_added,notes
navsim_v2_navhard,1,EABOT.AI&NJU,unknown,"EPDMS (navhard two-stage, corrected)",58.63,stage1 EP 74.0 / stage2 EP 74.3 (HF),2026-09,"https://huggingface.co/spaces/AGC2025/e2e-driving-navhard (public LB, POST /leaderboard, fetched 2026-09-26)",no,no,not found,not found,not audited,no,yes,"corrected; anonymous HF team; no paper/code found by name search; identity, inputs and training data unverifiable; also #1 on navtest v1"
navsim_v2_navhard,2,FPD-Drive-Pro,FPD-Drive (NIO/HKUST),"EPDMS (navhard two-stage, corrected)",58.07,README 58.07,2026-09,"https://huggingface.co/spaces/AGC2025/e2e-driving-navhard (public LB, POST /leaderboard, fetched 2026-09-26); FPD-Drive README",no (README only),no,none,4 cams + ego history + nav command,metric_proxy_candidate_selection (README; code not released),no,yes,corrected
navsim_v2_navhard,3,CooWAIM,unknown,"EPDMS (navhard two-stage, corrected)",57.61,,2026-09,"https://huggingface.co/spaces/AGC2025/e2e-driving-navhard (public LB, POST /leaderboard, fetched 2026-09-26)",no,no,not found,not found,not audited,no,yes,"corrected; anonymous HF team; no paper/code found by name search; identity, inputs and training data unverifiable"
navsim_v2_navhard,4,guest9527,unknown,"EPDMS (navhard two-stage, corrected)",57.41,57.4142,2026-09,"https://huggingface.co/spaces/AGC2025/e2e-driving-navhard (public LB, POST /leaderboard, fetched 2026-09-26)",no,no,not found,not found,not audited,no,yes,"corrected; anonymous HF team; no paper/code found by name search; identity, inputs and training data unverifiable"
navsim_v2_navhard,5,Aqua10086,unknown,"EPDMS (navhard two-stage, corrected)",57.41,57.4082,2026-09,"https://huggingface.co/spaces/AGC2025/e2e-driving-navhard (public LB, POST /leaderboard, fetched 2026-09-26)",no,no,not found,not found,not audited,no,yes,"corrected; anonymous HF team; no paper/code found by name search; identity, inputs and training data unverifiable"
navsim_v2_navhard,6,zzzzz,unknown,"EPDMS (navhard two-stage, corrected)",57.24,,2026-09,"https://huggingface.co/spaces/AGC2025/e2e-driving-navhard (public LB, POST /leaderboard, fetched 2026-09-26)",no,no,not found,not found,not audited,no,yes,"corrected; anonymous HF team; no paper/code found by name search; identity, inputs and training data unverifiable"
navsim_v2_navhard,7,DriveZero-Scale,Xiaomi L3 (builds on DrivoR + SimScale),"EPDMS (navhard two-stage, corrected)",56.81,HF 56.81; paper 57.1 (stage1 82.3 / stage2 69.1); DriveZero w/o scale 51.5,2026-09,"https://huggingface.co/spaces/AGC2025/e2e-driving-navhard (public LB, POST /leaderboard, fetched 2026-09-26); arXiv 2609.06055 Table 5",partial (NAVSIM code TODO),no for NAVSIM,none,4 cams,metric_proxy_candidate_selection (paper scoring head),no,yes,corrected (HF board)
navsim_v2_navhard,8,TOAD + DrivoR,valeo (DrivoR/TOAD),"EPDMS (navhard two-stage, corrected)",56.51,HF 56.51; arXiv/README 56.3 (56.2+-0.15),2026-09,"https://huggingface.co/spaces/AGC2025/e2e-driving-navhard (public LB, POST /leaderboard, fetched 2026-09-26); arXiv 2606.07170 Table 6",yes https://github.com/valeoai/TOAD,"yes (DrivoR +134k SimScale ckpt, GitHub Releases)",Apache-2.0,4 cams,metric_proxy_test_search; manual_scorer_reweighting; benchmark_split_adaptation (audit matrix.csv),yes,no,corrected
navsim_v2_navhard,9,FPD-Drive,FPD-Drive (NIO/HKUST),"EPDMS (navhard two-stage, corrected)",55.87,HF 55.87 (2026-09-25 submission); README 54.75,2026-09,"https://huggingface.co/spaces/AGC2025/e2e-driving-navhard (public LB, POST /leaderboard, fetched 2026-09-26); FPD-Drive README",no,no,none,4 cams + ego history + nav command,metric_proxy_candidate_selection (README),no,yes,corrected; HF and README differ by 1.1
navsim_v2_navhard,10,DriveFuture,not found,"EPDMS (navhard two-stage, corrected)",55.5,,2026-05,arXiv 2605.09701 Table 1 (base papers/drivefuture.pdf),no (not found),no,not found,not found (check paper),not audited,yes,no,"corrected per base; paper-only, not on HF board"
navsim_v2_navhard,11,DrivoR (+134k SimScale),valeo (DrivoR/TOAD),"EPDMS (navhard two-stage, corrected)",54.57,HF 54.57; paper Table 3 (after fix) 54.6,2026-01,"https://huggingface.co/spaces/AGC2025/e2e-driving-navhard (public LB, POST /leaderboard, fetched 2026-09-26); arXiv 2601.05083 Table 3",yes https://github.com/valeoai/DrivoR,yes (GitHub Releases),Apache-2.0,4 cams,metric_proxy_candidate_selection; manual_scorer_reweighting; benchmark_split_adaptation (audit),yes,no,context; corrected
