board,rank,method,family,primary_metric,score,secondary,date,source,code,weights,license,inputs,hack_mechanisms,in_base204,newly_added,notes
navsim_v2_navtest,1,WA-JEPA,AFARI-Research,EPDMS (navtest),91.7,v1 PDMS 91.8,2026-08,arXiv 2608.20974 Table 1,yes https://github.com/AFARI-Research/WA-JEPA,yes https://huggingface.co/AFARI-Research/WA-JEPA,Apache-2.0 (code); paper CC BY 4.0,"4 cams, V-JEPA2 ViT-L",not audited,yes,no,paper self-report (no navtest v2 leaderboard exists); corrected per base
navsim_v2_navtest,2,NTR,not found,EPDMS (navtest),90.9,v1 94.1,2026-05,arXiv 2605.31116 Table 3 (base),no (not found),no,not found,not found,not audited,yes,no,correction status not stated in paper
navsim_v2_navtest,3,BeyondDrive,CASIA/Xiaomi (wjl2244: MeanFuser/BeyondDrive/LTFv7),EPDMS (navtest),90.5,v1 90.3,2026-05,arXiv 2605.19771 via https://github.com/wjl2244/AD-Papers-in-NAVSIM-Benchmark (paper table not re-read),yes https://github.com/wjl2244/BeyondDrive,yes per README (code and checkpoints released 2026-05-20),Apache-2.0,not checked,not audited,no,yes,ECCV 2026; number from author-maintained list
navsim_v2_navtest,4,CLOVER,CLOVER,EPDMS (navtest),90.4,v1 94.5; navhard 48.3,2026-05,arXiv 2605.15120 abstract,partial https://github.com/WilliamXuanYu/CLOVER,"yes (GitHub Releases ckpt; v1 ckpt, v2 eval scripts TODO)",Apache-2.0,cams,metric_proxy_candidate_selection; benchmark_target_shaping (paper),no,yes,
navsim_v2_navtest,4,Discrete-WAM,not found,EPDMS (navtest),90.4,,2026,arXiv 2608.20974 (WA-JEPA) Table 1,not checked,not checked,not found,not found,not audited,no,yes,secondary source only
navsim_v2_navtest,6,SimWAM,H-EmbodVis,EPDMS (navtest),90.2,v1 91.5; navhard 37.6,2026-08,arXiv 2608.07468 Table 2,yes https://github.com/H-EmbodVis/SimWAM,yes https://huggingface.co/H-EmbodVis/SimWAM,NOASSERTION,1 cam,not audited,no,yes,
navsim_v2_navtest,7,SparseDriveV2,SparseDrive (swc-17),EPDMS (navtest),90.1,README ckpt name navsimv2_90p3; README reports 'EPDMS*' variant,2026-03,arXiv 2603.29163 Table 3 (base),yes https://github.com/swc-17/SparseDriveV2,yes https://huggingface.co/wenchaosun/SparseDriveV2 (sparsedrive_navsimv2_90p3.ckpt),Apache-2.0,cams,not audited (title 'Scoring is All You Need': scorer selection likely),yes,no,
navsim_v2_navtest,7,READ,not found,EPDMS (navtest),90.1,v1 90.7 (VLA),2026-09,arXiv 2609.12371 Table II,no (not found),no,not found,multi-view cams,not audited,no,yes,
navsim_v2_navtest,7,LTFv7,"wjl2244 (BeyondDrive paper), TransFuser lineage",EPDMS (navtest),90.1,v1 89.7,2026-05,arXiv 2605.19771 via AD-Papers-in-NAVSIM-Benchmark,yes https://github.com/wjl2244/BeyondDrive,not checked,Apache-2.0,cams (+LiDAR if LTF-style: not checked),not audited,no,yes,
navsim_v2_navtest,10,CoWorld-VLA,AFARI-Research,EPDMS (navtest),90.0,,2026-08,arXiv (via README badge); WA-JEPA Table 1,yes https://github.com/AFARI-Research/CoWorld-VLA,yes https://huggingface.co/hmq1211/CoWorld-VLA,Apache-2.0,cams + VLM,not audited,no,yes,
navsim_v2_navtest,11,DriveFuture,not found,EPDMS (navtest),89.9,navhard 55.5,2026-05,arXiv 2605.09701 Table 2 (base),no,no,not found,not found,not audited,yes,no,context
