board,rank,method,family,primary_metric,score,secondary,date,source,code,weights,license,inputs,hack_mechanisms,in_base204,newly_added,notes
nuscenes,1,IK-VLA (Ours-0.5B),OpenDriveVLA lineage (KAIST),"avg L2 (m), 1/2/3 s",0.06 (ST-P3); 0.13 under UniAD protocol,"L2 .04/.06/.10; col avg 0.09% (ST-P3), UniAD-protocol L2 .05/.08/.25",2026-05,arXiv 2605.21061 Table 3,no (not found),no (not found),not found,cams + text; ego not fed to the IK net (paper),not audited,no,yes,"OUTLIER, likely invalid: 1 s L2 0.04 m implausible; evaluated on 5,869/6,019 samples; supervised on future visual tokens. Listed #1 on sota2 per subagent. Keep for completeness, do not trust."
nuscenes,2,OWMDrive,"DiffusionDrive/TransFuser lineage (UCAS, CASIA, Waytous, Tongji)","avg L2 (m), 1/2/3 s",0.18,L2 .12/.18/.25; col .01/.04/.11/avg 0.05%,2026-06,arXiv 2606.30421 Table I; sota2 open-loop-planning-on-nuscenes,no (not found),no (not found),not found,cams + historical ego motion (ego yes); command not stated,ego_state_fusion (documented in paper; not audited in code),no,yes,Protocol not stated; Table I mixes protocols in baselines; source of future-occupancy condition (pred vs GT) unclear. Also lowest reported avg collision (0.05%) among top rows.
nuscenes,3,AutoDrive-R2 7B,AMAP / Alibaba (ImpromptuVLA-style Qwen2.5-VL),"avg L2 (m), 1/2/3 s",0.19,L2 .13/.19/.25; col .00/.07/.12/avg 0.07%,2025-09,arXiv 2509.01944 Table 1,partial https://github.com/AMAP-ML/AutoDrive-R2 (nuScenes data + eval),yes https://huggingface.co/GD-ML/AutoDrive-R2-7B,HF card apache-2.0; repo no license,front cam + ego history (ego yes),ego_state_fusion (documented in paper; not audited in code),no,yes,Protocol not stated. PixelPilot (2607.04637 T3 caption) says AutoDrive-R2 computes 3D trajectory from ego status via kinematics and greys it out. 3B variant 0.49 vs 7B 0.19 inconsistent.
nuscenes,4,Senna* (with ego status),hustvl (HUST + Horizon); VAD-based E2E,"avg L2 (m), 1/2/3 s",0.22,L2 .11/.21/.35; col .04/.08/.13/avg 0.08%,2024-10,arXiv 2410.22313 Table II; sota2 open-loop-planning-on-nuscenes-v1-0-test,partial https://github.com/hustvl/Senna (VLM only; no VAD planning code),"no (HF rb93dett/Senna has VLM weights only, no nuScenes planning ckpt)",Apache-2.0,6 cams + nav command + ego status (ego yes); ST-P3 averaging (VAD),ego_state_fusion (documented: * rows add ego status; not audited in code),no,no,Previous #1 (sampling.csv). Without ego: 0.43 (DriveX pretrain) / 0.59. IJCV 2026.
nuscenes,5,Reasoning-VLA-7B+,unknown (xipi702),"avg L2 (m), 1/2/3 s",0.22,L2 .05/.19/.41; col .02/.06/.13/avg 0.07%,2025-11,arXiv 2511.19912 main table,no (github.com/xipi702/Reasoning-VLA 'coming soon'),no (not found),not found,3 front cams + ego (ego yes),ego_state_fusion (documented in paper; not audited),no,yes,"Protocol not stated; 1 s L2 0.05 m odd. 7B: 0.23, 3B: 0.30."
nuscenes,6,SparseOccVLA,OmniDrive lineage (HUST + Xiaomi EV + Tsinghua AIR; same author as SparseWorld),"avg L2 (m), 1/2/3 s",0.23,L2 .14/.22/.32; col .03/.12/.41/avg 0.19%,2026-01,arXiv 2601.06474 Table 2,yes https://github.com/MSunDYY/SparseOccVLA (nuScenes train/eval),yes https://huggingface.co/MSunDYY2001/SparseOccVLA (stage3_4d_600q_forecasting.pth),NVIDIA non-commercial (OmniDrive) / GitHub NOASSERTION,6 cams + ego state token (ego yes); Occ3D aux supervision,ego_state_fusion (audit REAL-NUS-003),no,no,"Repo eval: L2 averaged over [0,t] (ST-P3), collision max-over-horizon (BEV-Planner style). Was #2 in previous snapshot."
nuscenes,7,EvoDriveVLA,OpenDriveVLA / Impromptu-VLA / FSDrive codebase (PKU + XPeng); Qwen2.5-VL-3B,"avg L2 (m), 1/2/3 s",0.26 (ST-P3); 0.52 (UniAD),L2 .12/.24/.43; col .02/.05/.12/avg 0.06% (ST-P3); UniAD col avg 0.12%,2026-03,arXiv 2603.09465v3 Table 1,yes https://github.com/hey-cjj/EvoDriveVLA (metric_stp3 + metric_uniad),yes https://huggingface.co/Paipai-zxa/EvoDriveVLA (student + teacher),no license file,6 cams + 2 s history trajectory + ego v/a/steer (ego yes),ego_state_fusion (documented in paper; not audited),no,yes,Oracle teacher sees future ego + future images during distillation (train only). Best-collision entry with code+weights.
nuscenes,8,ORION + traffic-element plug-in,ORION lineage (Tsinghua AIR),"avg L2 (m), 1/2/3 s",0.26,L2 .11/.25/.43; col .04/.19/.47/avg 0.23%,2026-08,arXiv 2608.18035 main table,no (not found),no (not found),not found,cams + ego (ego yes),ego_state_fusion (documented; not audited),no,yes,'standard open-loop protocol' = ORION ST-P3 numbers. Method name as in paper table not verified beyond subagent summary.
nuscenes,9,VLA-World* (with ego),FSDrive lineage (SJTU + Huawei; Qwen2-VL-2B),"avg L2 (m), 1/2/3 s",0.26 (ST-P3); 0.42 (UniAD),L2 .10/.24/.45; col .02/.05/.18/avg 0.08%,2026-04,arXiv 2604.09059 Table 1,no (project page is template),no (not found),not found,6 cams + ego (ego yes),ego_state_fusion (documented; not audited),no,yes,Ego-free variant 0.30.
nuscenes,10,DiMA+ (VAD-Base),VAD lineage (JHU + Qualcomm),"avg L2 (m), 1/2/3 s","0.27 (VAD/ST-P3 eval); 0.56 (at-t, Table 1)",L2 .12/.25/.44; col .04/.06/.15/avg 0.08%,2025-01,arXiv 2501.09757 Table 2 (CVPR 2025),no (not found),no (not found),not found,6 cams + VAD command + ego (ego yes),ego_state_fusion (documented; not audited),no,yes,"Ego-free DiMA 0.29. Tied at 0.27 with GeRo, GEM, SparseWorld† (ref rows)."
