board,rank,method,family,primary_metric,score,secondary,date,source,code,weights,license,inputs,hack_mechanisms,in_base204,newly_added,notes
wod_e2e,1,ZSD-Titan,Zeron (ZSD VLA; same team as ZSD and Zero-1),RFS Overall (test),8.1667,ADE@5s 2.637; ADE@3s not recorded here; RFS Spotlight on leaderboard,2026-07,"https://waymo.com/open/challenges/2025/e2e-driving/ (live leaderboard, embedded rows JSON fetched 2026-09-26); submission /open/challenges/e2e-driving/results/2f8414ad-97c0/1785383132869000/",no (not found),no (not found on HF),not found,"cams (WOD-E2E 8 surround cams; subset not disclosed) + ego history + route command; no LiDAR (leaderboard flag uses_lidar=False); not privileged; 4B, base Qwen3.5-4B",not audited (no paper/code); RFS-as-reward unknown,no,yes,"Authors listed: Zeron (YongJian Fu, XinTing Zhao, Bo Zhao, ... PanQu Wang); description only 'Vision-language-action model for end-to-end driving'. No paper found (arXiv author search on PanQu Wang only finds 2509.02659, CVPR2024 E2E challenge 2nd place). Single vs ensemble not stated. Leaderboard-only entry, not a paper claim."
wod_e2e,2,ZSD,Zeron (ZSD VLA),RFS Overall (test),8.0900,ADE@5s 2.600,2026-07,"https://waymo.com/open/challenges/2025/e2e-driving/ (live leaderboard, embedded rows JSON fetched 2026-09-26); results/2f8414ad-97c0/1784962455853000/ (two identical 8.0900 rows)",no (not found),no (not found),not found,"cams (WOD-E2E 8 surround cams; subset not disclosed) + ego history + route command; no LiDAR (leaderboard flag uses_lidar=False); not privileged; 2B, base Qwen3.5-2B",not audited (no paper/code),no,yes,Same account/team as ZSD-Titan; smaller 2B variant. Single vs ensemble not stated.
wod_e2e,3,PlusAI-WorldVLA-2B (a.k.a. PWVLA),PlusAI (WorldVLA/PWVLA),RFS Overall (test),8.0867,ADE@5s 2.545,2026-07,"https://waymo.com/open/challenges/2025/e2e-driving/ (live leaderboard, embedded rows JSON fetched 2026-09-26); results/ef8dd9ba-5efa/1783984973962000/",no (not found),no (not found; HF 'WorldVLA' hits are unrelated LIBERO models),not found,"cams (WOD-E2E 8 surround cams; subset not disclosed) + ego history + route command; no LiDAR (leaderboard flag uses_lidar=False); not privileged; 2B, base Qwen3.5-2B",not audited (no paper/code),no,yes,"Authors PlusAI (Abhishek Bhatia, Xiangyu Gao, Michael Bosch). Same authors also submitted PWVLA-2B 8.0706, PWVLA 8.0602 / 7.9933 and PlusAI-WorldVLA-2B 8.0795 from other accounts (multiple accounts, many submissions). No paper found. PlusAI publicly uses NVIDIA Alpamayo for trucks (press 2026-03), relation to this entry unknown."
wod_e2e,4,VAIL+,"VAIL (Dabin Seo, Eunhyek Joa; Alpamayo-based)",RFS Overall (test),8.0817,ADE@5s 2.601,2026-07,"https://waymo.com/open/challenges/2025/e2e-driving/ (live leaderboard, embedded rows JSON fetched 2026-09-26); results/ca646b60-7612/1783391761140000/",no (not found),no (not found),not found,"cams (WOD-E2E 8 surround cams; subset not disclosed) + ego history + route command; no LiDAR (leaderboard flag uses_lidar=False); not privileged; 10B, base NVIDIA Alpamayo 1.5 (10B)",not audited (no paper/code),no,yes,"Description only 'VLA'. Same authors: VAIL 8.0613 (2026-06, Alpamayo 1.5 + Qwen3-VL-8B, 'VLA with adaptive CoC') and VAIL 7.8785 (2026-05). No paper found."
wod_e2e,5,DriveMA-4B (leaderboard name VMA-plus),Tsinghua MARS Lab (Hang Zhao); Qwen3.5-VL based,RFS Overall (test),8.0786,ADE@5s 2.670; ADE@3s 1.166 (paper),2026-05,"arXiv 2605.31271v2 Table 1 (8.079) = https://waymo.com/open/challenges/2025/e2e-driving/ (live leaderboard, embedded rows JSON fetched 2026-09-26) row VMA-plus results/b26de6ef-efa6/1778591203070000/",yes https://github.com/Tsinghua-MARS-Lab/DriveMA (ms-swift based train pipeline),no (only DriveMA-2B released: https://huggingface.co/zwc2003/DriveMA-2B),Apache-2.0,"cams (WOD-E2E 8 surround cams; subset not disclosed) + ego history + route command; no LiDAR (leaderboard flag uses_lidar=False); not privileged; 4B, Qwen3.5-4B",metric_reward_finetuning (audit REAL-WOD-001: RL reward calls official RFS; paper: R_traj instantiated with RFS on 479 preference samples),yes,no,"Single model, greedy decoding (paper). Leaderboard alias VMA-plus has same authors (Weicheng Zheng, ..., Hang Zhao). Also 2605.21273 is a related DriveMA paper by same authors."
wod_e2e,6,DriveMA-2B,Tsinghua MARS Lab (Hang Zhao),RFS Overall (test),8.0748,ADE@5s 2.662,2026-06,"https://waymo.com/open/challenges/2025/e2e-driving/ (live leaderboard, embedded rows JSON fetched 2026-09-26); results/a6ffee34-656e/1781173747085000/ (desc 'DriveMA-2B-2026-0611'); paper value 8.060 = leaderboard row 'VMA' 2026-04",yes https://github.com/Tsinghua-MARS-Lab/DriveMA,yes https://huggingface.co/zwc2003/DriveMA-2B (released 2026-07-18; whether it is the 8.0748 or 8.060 checkpoint not stated),Apache-2.0 (repo and HF card),"cams (WOD-E2E 8 surround cams; subset not disclosed) + ego history + route command; no LiDAR (leaderboard flag uses_lidar=False); not privileged; 2B, Qwen3.5-2B",metric_reward_finetuning (audit REAL-WOD-001),yes (as 8.06),no,Score updated: base204 has paper 8.06; newer leaderboard resubmission 8.0748 (also cited by TTVLM paper 2609.02341 Table 2 as 8.075).
wod_e2e,7,VAIL,"VAIL (Dabin Seo, Eunhyek Joa)",RFS Overall (test),8.0613,ADE@5s 2.591,2026-06,"https://waymo.com/open/challenges/2025/e2e-driving/ (live leaderboard, embedded rows JSON fetched 2026-09-26); results/06527efe-6f6a/1780650482900000/",no (not found),no (not found),not found,"cams (WOD-E2E 8 surround cams; subset not disclosed) + ego history + route command; no LiDAR (leaderboard flag uses_lidar=False); not privileged; 10B, Alpamayo 1.5 + Qwen3-VL-8B-Instruct",not audited,no,yes,"Earlier variant of VAIL+ (same authors, different account). 'adaptive CoC' = chain-of-causation reasoning as in Alpamayo."
wod_e2e,8,Zero-1,Zeron (likely; author Bo Zhao also on ZSD),RFS Overall (test),8.0477,ADE@5s 2.650,2026-07,"https://waymo.com/open/challenges/2025/e2e-driving/ (live leaderboard, embedded rows JSON fetched 2026-09-26); results/5eda09a5-2c08/1784515726565000/",no (not found),no (not found),not found,"cams (WOD-E2E 8 surround cams; subset not disclosed) + ego history + route command; no LiDAR (leaderboard flag uses_lidar=False); not privileged; 2B, Qwen3.5-2B",not audited,no,yes,"Single author Bo Zhao, description 'nts'. Family assignment to Zeron is inferred from shared author name only."
wod_e2e,9,NTR (Ensemble),DrivoR lineage (valeoai; NTR by NUS + Black Sesame),RFS Overall (test),8.0461,ADE@5s 2.638; ADE@3s 1.173,2025-12,"arXiv 2605.31116 Table 1 (ensemble); https://waymo.com/open/challenges/2025/e2e-driving/ (live leaderboard, embedded rows JSON fetched 2026-09-26) results/1499748b-9bba/1767012340735000/",no (not found),no (not found),not found,"cams (WOD-E2E 8 surround cams; subset not disclosed) + ego history + route command; no LiDAR (leaderboard flag uses_lidar=False); not privileged; 888M, DINO backbone","not audited (no code); paper: DrivoR-style candidate generation + learned scoring head, score supervision on WOD not specified (appendix missing)",yes,no,"ENSEMBLE. Single model 7.9982 (Table 1). Also leaderboard NTR 7.9823 (44M DINOv2, 2026-03)."
wod_e2e,10,TTVLM,"Mines Paris PSL (Azevedo, Sabatini, Hornauer, Moutarde); Poutine-like Qwen VLM",RFS Overall (test),8.0434,ADE@5s 2.843,2026-03,"https://waymo.com/open/challenges/2025/e2e-driving/ (live leaderboard, embedded rows JSON fetched 2026-09-26); results/caa2b7d8-5279/1774853028231000/ (desc 'TTVLM Qwen 3.5 2B: pPt, noCoT, dPt0.2')","partial https://github.com/caiocj1/ad-vla (code of the related paper arXiv 2609.02341; that paper's best test RFS is only 7.939, Table 2, so 8.0434 config is not documented)",no (not found),not found (no license field on repo),"cams (WOD-E2E 8 surround cams; subset not disclosed) + ego history + route command; no LiDAR (leaderboard flag uses_lidar=False); not privileged; 2.2B, Qwen3.5-2B",not audited,no,yes,Leaderboard entry better than anything in the authors' paper; submission config not described. Single vs ensemble unknown.
